regulation_project_id;Мероприятия, необходимые для достижения целей регулирования;Сроки мероприятий;Описание ожидаемого результата;Объем финансирования;Источники финансирования
15247;нет;нет;нет;нет;реализация законопроекта не потребует дополнительных расходов из федерального бюджета, а также других бюджетов бюджетной системы Российской Федерации
15379;Обучение должностных лиц;Не требуется.;Отсутствует.;Не требуется.;Не требуется.
17151;"Принятие законопроекта, актов, необходимых для его реализации";2018 г.; ; ; 
17151; ; ; ; ; 
17464;проведение мероприятий не требуется;-;-;-;-
17555;мероприятия отсутствуют;отсутствуют;отсутствует;отсутствует;отсутствует
17984;переформирование комиссий;три месяца;формирование комиссий в составе, предусмотренном Федеральным законом № 135-ФЗ;отсутсвует;отсутствуют
18013;Приказ Минкомсвязи России с указанием требований;-;Соблюдение требований к организационно-техническому обеспечению устойчивого функционирования сети связи общего пользования.;-;-
18162;Установлен переходный период;1.07.2016;_;Затраты владельцев метрополитенов на выполнение требований санитарных правил различны, поскольку зависят от состояния метрополитенов.;Определяют владельцы метрополитенов
18209;не требуются;нет;нет;нет;нет
18230;Разработка и принятие подзаконных актов;До 2017 года;Сформированная нормативно-правовая база;0;0
18247;не трубуются;-;-;-;-
18484;отсутствуют;отсутствуют;отсутствуют;дополнительного финансирования не потребуется;дополнительного финансирования не потребуется
18716;Внесение операторами связи изменений в технологические процессы взаимодействия с оператором базы данных перенесенных номеров;К вступлению в силу разрабатываемого приказа;Отсутствие проблемы, указанной в п.3.1;Отсутствует;Отстутсвует
18796;Отсутствуют; ; ;Не требуется;Не требуется
18827;"Проект постановления Правительства Российской Федерации «Об утверждении положения о создании и использовании пользователями недр ликвидационных фондов»;"; ; ; ; 
18827;"Проект постановления Правительства Российской Федерации «Об утверждении Порядка подготовки и заключения соглашения о корпоративной гарантии, а также формы соглашения о корпоративной гарантии»;";180 дней со дня принятия законопроекта;финансовое обеспечение ликвидационных работ;в пределах бюджетных ассигнований, предусмотренных Минприроды России на руководство и управление в сфере установленных функций;федеральный бюджет Российской Федерации
18827;Проект постановления Правительства Российской Федерации «Об утверждении состава и требований к значениям сводных показателей деятельности группы пользователей недр в целях предоставления им корпоративной гарантии»;180 дней со дня принятия законопроекта;финансовое обеспечение ликвидационных работ;в пределах бюджетных ассигнований, предусмотренных Минприроды России на руководство и управление в сфере установленных функций;федеральный бюджет Российской Федерации
18839;Вступление в силу НПА установленным законодательством порядком;После регистрации Минюстом России;Решение проблемы, указанной в п. 3.1, и предупреждение возникновения проблемы, указанной в п. 3.2;Дополнительного финансирования не требуется;Не требуются
18888;Отсутствуют;-;-;Отсутствует;Отсутствуют
18988;Нет;Нет;Нет;Нет;Нет
19058;Методологические мероприятия, связанные с разработкой инструкций, методических указаний и иных подобных документов;В течение 6 месяцев со дня вступления в силу проекта постановления;Разработка документов, являющихся методологической основой для осуществления государственных закупок;Конкретный объём не устанавливается.;В рамках бюджетных средств, выделенных Минсельхозу России для осуществления полномочий, предусмотренных Положением о Минсельхозе России.
19058;Обучение должностных лиц федеральных органов исполнительной власти и субъектов Российской Федерации, органов местного самоуправления;отсутствует; ; ; 
19215;Дополнительных мероприятий не требуется;не требуется;не требуется;не требуется;не требуется
19244;нет;нет;нет;нет;нет
19359;Издание нормативного правового акта ФТС России;март 2015 г.;определение требований к оборудованию и обустройству участка ТОР;---;---
19402;Издание нормативного правового акта Правительства Российской Федерации;октябрь 2016 года;установление отдельного порядка осуществления процедур пограничного, таможенного и иных видов контроля в отношении лиц, животных, грузов, товаров и транспортных средств в свободных портах Республики Крым и города федерального значения Севастополя;---;---
19939;Принятие проекта приказа;IV квартал 2015 года;Решение проблемы, описанной в п.3.1.;Не предусматривается;Отсутствуют
20039;Вступление в силу нормативного правового акта установленным законодательством порядком;После регистрации НПА в Минюсте Росси;Решение проблемы, указанной в п. 3.1, и предупреждение возникновения негативных последствий, указанных в п. 3.2;Дополни-тельного финансирования не требуется;Не требуются
20202;необходимость в мероприятиях отсутствует;не требуется;не требуется;0;не требуется
20252;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
20290;Не предусмотрены;Не требуются;Не требуется;Не требуется;Не требуются
20292;Вступление в силу постановления Правительства Российской Федерации «Об утверждении Порядка выдачи, отказа в выдаче и отзыва прокатного удостоверения на фильм и Порядка ведения Государственного регистра фильмов»;Постановление Правительства Российской Федерации вступает в силу по истечении 3 месяцев со дня его официального опубликования;Решение проблемы, указанной в п.3.1.;Финансирование не потребуется;Не требуется
20305;Отсутствуют;-;-;-;-
20311;Вступление в силу проекта Федерального закона «О внесении изменений в Федеральный закон «О государственной поддержке кинематографии Российской Федерации»;вступает в силу по истечении трёх месяцев со дня его официального опубликования.;Решение проблемы, указанной в п. 3.1.;Финансирования не потребуется;Не требуется
20623;нет;нет;нет;нет;нет
20724;Разработка и принятие подзаконных актов;До 2017 года;Сформированная нормативно-правовая база;-;-
20731;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
20755;-Разработка и принятие подзаконных актов;До 2017 года;Сформированная нормативно-правовая база;-;-
20782;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
20840;нет;нет;нет;нет;нет
20947;мероприятия отсутствуют;отсутствуют;отсутствует;отсутствует;отсутствует
21034;-;-;-;-;-
21068;Вступление в силу нормативного правового акта в установленном законодательством порядке;1 января 2017 года;Решение проблемы, указанной в п. 3.1, и предупреждение возникновения проблемы, указанной в п.3.2.;0;денежные средства предприятий
21086;Вступление в силу нормативного правового акта в установленном законодательством порядке;1 января 2017 года;Решение проблемы, указанной в п. 3.1, и предупреждение возникновения проблемы, указанной в п.3.2.;0;денежные средства предприятий
21309;нет;нет;нет;нет;нет
21346;-;-;-;-;-
21367;Вступление в силу нормативного правового акта установленным законодательством порядком;После регистрации Минюстом России;Решение проблемы, указанной в п. 3.1, и предупреждение возникновения проблемы, указанной в п. 3.2;Дополни-тельного финансиро-вания не требуется;не требуются
21379;Выполнение Росрыболовством, Территориальными управлениями Росрыболовства и федеральными государственными бюджетными учреждениями по сохранению водных биоресурсов (рыбводами) функций, установленных проектом постановления.;С момента вступления в силу;Предоставление осетровых видов рыб в пользование для осуществления рыболовства в целях аквакультуры (рыбоводства). Реализация федеральными государственными бюджетными учреждениями по сохранению водных биоресурсов (рыбводами), молоди осетровых видов рыб юридическим лицам и индивидуальным предпринимателям.;В пределах лимитов бюджетных ассигнований, доведенных Росрыболовству.;Бюджетное финансирование.
21405;проведение мероприятий не требуется;-;-;-;-
21463;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
21576;"принятие нормативных правовых и ведомственных актов в связи с вступлением в силу федерального закона ""О свободных портах в Российской Федерации и внесении изменений в отдельные законодательные акты Российской Федерации""";в течение 6 месяцев со дня вступления в силу;достижение целей регулирования путем реализации норм федерального закона;-;-
21582;отсутствуют;отсутствуют;отсутствует;отсутствует;отсутствуют
21712;Вступление в силу нормативного правового акта в установленном порядке;1 января 2016;Решение проблемы, указанной в п. 3.1, и предупреждение возникновения проблемы, указанной в п. 3.2.;Дополнитель-ного финансирование не потребуется;не требуются
21750;не предусмотрены;не предусмотрены;не предусмотрены;не предусмотрены;не предусмотрены
21878;отсутствуют;отсутствуют;отсутствует;отсутствует;отсутствует
21926;-;-;-;-;-
21997;Дополнительных мероприятий на достижение целей регулирования не требуется;Не требуется;Не требуется;Не требуется;Не требуется
22155;-;-;-;-;-
22769;Не требуется;-;-;Не требуется;Не требуется
22817;отсутствуют;отсутствуют;отсутствует;отсутствует;отсутствуют
22904;отсутствуют;-;-;-;-
22928;Не требуется;не применимо;не применимо;0 руб.;отсутсвуют
22979;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствует;Отсутствуют
23097;не требуются;-;-;-;-
23140;Принятие проекта нормативного правового акта;С момента опубликования;Принятие проекта нормативного правового акта;Финансирование не требуется;Финансирование не требуется
23328;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
23354;Согласование и внесение в Государственную Думу федерального закона.;2016 г.;Принятие федерального закона;0;Отсутствуют.
23413;нет;нет;нет;нет;нет
23429;Выпуск приказа Минтранса России;10.12.2015;нет данных;нет данных;нет данных
23448;-;-;-;-;-
23513;Информация будет внесена по завершению общественного обсуждения Проекта акта;Информация будет внесена по завершению общественного обсуждения Проекта акта;Информация будет внесена по завершению общественного обсуждения Проекта акта;Информация будет внесена по завершению общественного обсуждения Проекта акта;Информация будет внесена по завершению общественного обсуждения Проекта акта
23591;Обучение должностных лиц;Не требуется;Отсутствует;Не требуется;Не требуется
23591;Отсутствуют;Не требуется;Не требуется;Не требуется;Не требуется
23810;установление уполномоченным федеральным органом требований к технологическим и лингвистическим средствам федеральной информационной системы, порядка информационного взаимодействия федеральной информационной системы с иными информационными системами, порядка регистрации в федеральной информационной системе и пользования федеральной информационной системой, а также состава, порядка представления и размещения информации на официальном Интернет-сайте;указан в п. 16.1;реализация мероприятий, указанных в п. 14.1;не требуется дополнительного финансирования;-
23851;нет;нет;нет;отсутствует;не существует
24504;нет;нет;нет;нет;нет
24662;принятие федерального закона;2016 год;совершенствования законодательства Российской Федерации о некоммерческих организаций, выполняющих функции иностранного агента и унификации отчетности некоммерческих организаций;0;финансирование не требуется
24744;-;-;2. Минфин России наделен полномочием установления порядка ведения Перечня.;-;-
24744;-;-;3. Установление невозможности приема платежей организациями, не включенными в Перечень.;-;-
24744;-;-;4. Установление невозможности возврата денежных средств заявителю банками, иными кредитными организациями после направления информации об уплате в Государственную информационную систему о государственных и муниципальных платежах.;-;-
24744;-;-;-;-;-
24744;"Принятие проекта федерального закона ""О внесении изменений в статью 21.3 Федерального закона ""Об организации предоставления государственных и муниципальных услуг""";2017 год;1. Уточнение сроков направления информации, необходимой для уплаты и об уплате платежей, в Государственную информационную систему о государственных и муниципальных платежах.;Реализация Минфином России своих полномочий осуществляется в пределах установленной предельной численности его работников и бюджетных ассигнований, предусмотренных ему в федеральном бюджете на соответствующий год и плановый период на руководство и управление в сфере установленных функций. Реализация положений проекта федерального закона не потребует дополнительных расходов средств федерального бюджета;Реализация Минфином России своих полномочий осуществляется в пределах установленной предельной численности его работников и бюджетных ассигнований, предусмотренных ему в федеральном бюджете на соответствующий год и плановый период на руководство и управление в сфере установленных функций. Реализация положений проекта федерального закона не потребует дополнительных расходов средств федерального бюджета
24979;информирование налогоплательщиков и налоговых агентов об утверждении формы 2-НДФЛ, формата представления в электронной форме;2015 год;качественное и своевременное исполнение налоговыми агентами обязанности по представлению в налоговый орган сведений о доходах физических лиц;дополнительное финансирование не требуется;не требуется
25005;Информирование налогоплательщиков и налоговых агентов об утверждении справочников кодов доходов и вычетов;2015 год;качественное и своевременное исполнение налоговыми агентами обязанности по представлению в налоговый орган сведений о доходах физических лиц, расчета сумм налога на доходы физических лиц;дополнительное финансирование не требуется;не требуется
25029;Принятие предложенного проекта приказа;IV квартал 2015 года;Решение проблемы, указанной в пункте 1.4;Финансирование не предусмотрено;Финансирование не предусмотрено
25193;принятие проекта постановления;I квартал 2016 года;принятие проекта постановления;0;0
25223;вступление в силу проекта приказа ФНС России «Об утверждении формы заявления о предоставлении налогоплательщиком - иностранной организацией, не осуществляющей деятельность на территории Российской Федерации через постоянное представительство, налоговому органу адреса для направления по почте документов, которые используются налоговыми органами при реализации своих полномочий в отношениях, регулируемых законодательством о налогах и сборах»;2015 г.;возможность направления документов, которые используются налоговыми органами при реализации своих полномочий в отношениях, регулируемых законодательством о налогах и сборах, налоговым органом налогоплательщику - иностранной организации, не осуществляющей деятельность на территории Российской Федерации через постоянное представительство, по почте по предоставленному налоговому органу адресу для направления документов;не требуется;не требуется
25226;"вступление в силу приказа ФНС России ""Об утверждении форм и требований к оформлению документов, представляемых в регистрирующий орган при государственной регистрации юридических лиц, индивидуальных предпринимателей и крестьянских (фермерских) хозяйств""";2016 год;исполнение заинтересованными лицами, регистрирующими органами положений законодательства Российской Федерации;не требуется;не требуется
25259;Вступление в силу проекта приказа ФНС России «Об утверждении формы и формата уведомления о контролируемых иностранных компаниях, а также порядка заполнения формы и порядка представления уведомления о контролируемых иностранных компаниях электронной форме»;2016;Обеспечена возможность представления налогоплательщиками в налоговый орган уведомления об контролируемых иностранных компаниях по утвержденной форме (формату);Финансирование не требуется;Финансирование не требуется
25289;Мероприятия, предполагаемые к проведению в рамках нового порядка проведения государственной кадастровой оценки;365 дней с момента принятия проекта федерального закона;создание условий для возможности реализации нового проядка проведения государственной кадастровой оценки;финансирование за счет средств бюджетов субъектов Российской Федерации, направляемых на проведение кадастровой оценки;бюджеты субъектов Российской Федерации
25359;отсутствуют;отсутствуют;отсутствуют;не требуется;не требуется
25400;-;-;-;-;-
25518;отсутсвуют; ; ; ; 
25530;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
25532;Информирование налоговых агентов об утверждении формы расчета сумм налога на доходы физических лиц, исчисленных и удержанных налоговым агентом, и порядка по его заполнению, а также формата представления расчета сумм налога на доходы физических лиц, исчисленных и удержанных налоговым агентом в электронной форме;2015 год;качественное и своевременное исполнение налоговыми агентами обязанности по представлению в налоговый орган расчета сумм налога на доходы физических лиц, исчисленных и удержанных налоговым агентом;дополнительное финансирование не требуется;не требуется
25553;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
25575;Не предусмотрены;Не требуются;Не требуется;Не требуется;Не требуются
25620;нет;нет;нет;нет;нет
25691;необходимость в мероприятиях отсуствует;не требуется;не требуется;0;не требуется
25711;Разработка и принятие необходимых подзаконных нормативных правовых актов;6 месяцев с момента опубликования;Принятие необходимых подзаконных нормативных правовых актов;Не требуется;Не требуются
25874;-;-;-;-;-
25916;Не требуется;нет;нет;нет;нет
25940;нет;нет;нет;нет;нет
25983;Обучение должностных лиц;Не требуется;Отсутствует;Не требуется;Не требуется
25983;Отсутствуют;Не требуется;Утверждение Порядка постановлением Правительства Российской Федерации.;Не требуется;Не требуется
26060;Обучение должностных лиц;Не требуется;Отсутствует;Не требуется;Не требуется
26060;Отсутствуют;Не требуется;Не требуется;Не требуется;Не требуется
26073;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
26182;-;-;-;-;-
26227;отсутствуют;отсутствуют;отсутсвтуют;не требуется;не требуется
26241;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
26275;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
26324;Принятие проекта нормативного акта;январь 2016 г.;"принятие приказа Министерства энергетики Российской Федерации ""О внесении изменений в приказ Министерства энергетики Российской Федерации от 3 декабря 2013 г. № 868""";финансирование не требуется;финансирование не требуется
26384;Проведение публичного обсуждения проекта акта с субъектами предпринимательской и иной деятельности, а также его согласование с федеральными органами исполнительной власти.;-;-;-;-
26469;1.	Организация интенсивного обучения государственных гражданских служащих;в течение года;проведение аудита зарубежных официальных систем ветеринарного и фитосанитарного надзора;2760 тыс. рублей;средства из федерального бюджета
26469;2.	Командировки;в течение года;проведение аудита зарубежных официальных систем ветеринарного и фитосанитарного надзора;с 2018 по 26460, 56 тыс. рублей ежегодно;средства из федерального бюджета
26487;-;-;-;-;-
26565;Вступление в силу нормативного правового акта;3 квартал 2016 года;Действующий нормативный правовой акт;отсутствует;отсутствуют
26661;нет;нет;нет;нет;нет
26694;Нет;Нет;Нет;Нет;Нет
26710;Не предусмотрены;Не требуются;Не требуются;Не требуются;Не требуются
26785;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
26822;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
26992;Издание информационных писем, опубликование в специализированных журналах информации о вступлении в силу Федеральных норм и правил в области промышленной безопасности «Инструкция по прогнозу динамических явлений и мониторингу массива горных пород при отработке угольных месторождений»;60;Ознакомление с Федеральными нормами и правилами в области промышленной безопасности «Инструкция по прогнозу динамических явлений и мониторингу массива горных пород при отработке угольных месторождений» и принятие к руководству угледобывающими организациями, надзорными и контролирующими организациями, военизированными горноспасательными частями;Не требуется;Не требуется
27123;Отсутствуют;Отсутствуют;Отсутствует;Не требуется;Не требуется
27167;Нет;Нет;Нет;Нет;Нет
27292;-;-;-;-;-
27343;Внесение соответствующих изменений в акты Правительства Российской Федерации в целях реализации Закона о рыболовстве.;С момента вступления в силу;Совершенствования механизма распределения квот добычи (вылова) водных биоресурсов. Предусмотреть обязательства к юридическим лицам и индивидуальным предпринимателям, которым предоставлено права на добычу (вылов) водных биоресурсов, а также повышению эффективности использования таких ресурсов.;В рамках доведенных лимитов Федерального бюджета Российской Федерации.;Федеральный бюджет Российской Федерации
