regulation_project_id;Цели предлагаемого регулирования;Индикативные показатели;Единицы измерения индикативных показателей;Способы расчета индикативных показателей
14309;"Совершенствование процесса подготовки предложений о применении особых формул расчета ставок вывозных таможенных пошлин на нефть сырую, указанных в подпунктах 2 или 3 пункта 5 статьи 3.1 Закона Российской Федерации ""О таможенном тарифе"", и проведения мониторинга обоснованности их применения в рамках реализации постановления Правительства Российской Федерации от 26 сентября 2013 г. № 846";проект постановления;принятие проекта постановления;-
14383;Анализ поступающих в Министерство транспорта Российской Федерации обращений, касающихся применения акта.;-;-;-
14725;совершенствование таможенного контроля после выпуска товаров;показатели не устанавливаются;нет;нет
14748;-;-;-;-
15099;Вступление в силу нормативного правового акта установленным законодательством порядком;-;-;-
15247;"Установление основных понятий, касающихся органической продукции; закрепление основных направлений государственной политики в области производства и оборота органической продукции, основ производства и оборота органической продукции; ведение системы добровольной сертификации производства органической продукции;
ведение единого государственного реестра производителей органической продукции; процедура подтверждения соответствия производства органической продукции, .";не предусмотрены;-;-
15379;Создание правовых оснований для выдачи Россельхознадзором заявителям разрешения на использование маркировочного знака, присвоение им кода изготовителя или производителя обработки древесных упаковочных и крепежных материалов.;Отсутствуют.;Отсутствуют.;Не требуются.
17151;Обеспечение надлежащей регламентации деятельности гидрометеорологической службы Российской Федерации и развитие необходимой нормативно-правовой и методической базы деятельности в сфере гидрометеорологии и  смежных с ней областях.;Доля принятых актов от общего количества актов, предусмотренных перечнем нормативных правовых актов Президента Российской Федерации, Правительства Российской Федерации и федеральных органов исполнительной власти, подлежащих признанию утратившими силу, приостановлению, изменению или принятию в связи с принятием проекта федерального закона ;проценты;отношение количества принятых актов к общему количеству
17464;создание федерального информационного ресурса, обеспечивающего учет сельскохозяйственных земель и мониторинг их состояния и использования;отсутсвуют;-;отсутсвуют
17464;установление правовых основ государственного мониторинга земель сельскохозяйственного назначения и мониторинга плодородия земель, используемых или предоставленных для ведения сельского хозяйства в составе земель иных категорий;отсутсвуют;"-
";отсутсвуют
17555;Недопущение ограничения конкуренции, путем осуществления государственного контроля за экономической концентрацией и рассмотрения материалов, заявлений, дел о нарушении антимонопольного законодательства в отношении финансовых организаций, поднадзорных Банку России.;количество ходатайств, заявлений, дел о нарушений антимонопольного законодательства;штук;сравнение с аналогичным периодом предыдущего года
17984;отсутствуют;отсутствуют;отсутствуют;отсутствуют
18013;Вступление в силу нормативного правового акта установленным законодательством порядком.;-;-;-
18162;Охрана здоровья пассажиров и работников метрополитена.;отсутствуют;отсутствуют;_
18209;Уточнение признаков неиспользования земельных участков в составе земель сельскохозяйственного назначения, с учетом правоприменительной практики Россельхознадзора и положений статьи 6 Закона об обороте, в целях соблюдения требований земельного законодательства о целевом использовании земель сельскохозяйственного назначения и их охране правообладателями таких земельных участков.;отсутствуют;отсутствуют ;отсутствуют
18230;1. Формирование комплексной системы правового регулирования на территории курортного региона;Количество правовых актов;Единицы;Суммирование
18230;1. Формирование комплексной системы правового регулирования на территории курортного региона;Количество участников проекта;Единицы;Экспертная оценка
18230;2. Создание необходимых условий для социально-экономического развития курортного региона;Объем привлеченных инвестиций на территорию курортного региона;Рубли;Экспертная оценка
18230;2. Создание необходимых условий для социально-экономического развития курортного региона;Количество вновь созданных объектов инфраструктуры медицинского лечебно-оздоровительного кластера;Единицы;Экспертная оценка
18247;Оперативное формирование государственного информационного ресурса за счет сокращения времени на ввод бухгалтерской (финансовой) отчетности, полученной на бумажных носителях. Повышение оперативности размещения данных бухгалтерской (финансовой) отчетности на интернет-портале Росстата в формате открытых данных, снижение финансовых и временных затрат для экономических субъектов;Индикативных показателей нет.;Индикативных показателей нет.;Индикативных показателей нет.
18484;Установление порядка заключения и исполнения энергосервисных договоров (контрактов)  ;Вступление в силу федерального закона о внесении изменений в Жилищный кодекс Российской Федерации и отдельные законодательные акты Российской Федерации, устанавливающего порядок заключения и исполнения энергосервисных договоров (контрактов)  ;наличие ;наличие 
18716;Обеспечение реализации прав абонентов сетей подвижной радиотелефонной связи при расторжении договора об оказании услуг подвижной радиотелефонной связи с одним оператором подвижной радиотелефонной связи и заключении договора об оказании услуг связи с другим оператором подвижной радиотелефонной связи сохранить ранее выделенный абонентский номер (переносимость абонентского номера).;Мониторинг и оценка индикативных показателей не планируется;Отсутствует;Отсутствует
18827;создание механизма, гарантирующего выполнение финансовых обязательств недропользователей в части проведения ликвидационных работ;"количество сформированных ликвидационных фондов; количество предоставленных корпоративных гарантий";шт;суммирование
18888;-;Отсутствуют;Отсутствуют;Отсутствуют
19058;Наращивание производства отечественной продукции, увеличение экспортного потенциала;удельный вес отечественной сельскохозяйственной продукции и продовольствия в общем объеме ресурсов;Проценты (%);", где П – объем производства; Зоп – объем отечественной продукции в запасах на начало года; Р – общий объем ресурсов внутреннего рынка соответствующего вида продукции, включающий запасы на начало года, отечественное производство, импорт."
19215;"Определение перечня объектов, подлежащих региональному государственному надзору в области защиты населения и территорий от чрезвычайных ситуаций природного и техногенного характера: органы местного самоуправления; организации, входящие в состав территориальных подсистем единой государственной системы предупреждения и ликвидации чрезвычайных ситуаций, за исключением организаций, в отношении которых осуществляется федеральный государственный надзор."; ; ; 
19215;"Определение перечня объектов, подлежащих федеральному государственному надзору в области защиты населения и территорий от чрезвычайных ситуаций природного и техногенного характера: федеральные органы исполнительной власти, государственные корпорации и организации, создающие функциональные подсистемы единой государственной системы предупреждения и ликвидации чрезвычайных ситуаций; организации, входящие в состав функциональных подсистем единой государственной системы предупреждения и ликвидации чрезвычайных ситуаций; органы исполнительной власти субъектов Российской Федерации; организации, эксплуатирующие критически важные объекты и потенциально опасные объекты."; ; ; 
19215;Определение порядка осуществления государственного надзора в области защиты населения и территорий от чрезвычайных ситуаций.;отсутствуют;отсутствуют;отсутствуют
19244;нет;нет;нет;нет
20252;Выбор наименований лекарственных препаратов в соответствии с правилами рационального выбора наименований лекарственных препаратов для медицинского применения;Отсутствуют;Отсутствуют;Отсутствуют
20290;Утверждение перечня наименований лекарственных форм лекарственных препаратов для медицинского применения;Отсутствуют;Отсутствуют;Отсутствуют
20292;Основные цели предлагаемого регулирования – решение проблемы, указанной в п.3.1.;-;-;-
20305;"Введение единых принципов похоронной отрасли, правил и требований к оказанию ритуальных услуг, предоставлению мест захоронения и участков для создания семейных (родовых) мест захоронения, захоронению и перезахоронению умерших, созданию и содержанию объектов похоронного назначения, осуществление деятельности по организации похорон только при условии заключения лицом, оказывающим услуги по организации похорон, соглашения с уполномоченным органом субъекта Российской Федерации. При этом такое лицо может быть только в форме юридического лица. 
Услуга по организации похорон предоставляется только юридическими лицами, заключившими соглашение с уполномоченным органом в сфере похоронного дела об осуществлении деятельности по организации похорон (похоронная служба по вопросам похоронного дела) на основании договора на оказание услуг по организации похорон.
";-;-;-
20311;Основные цели предлагаемого регулирования – решение проблемы, указанной в п.3.1.;Отсутствуют ;Отсутствуют;Отсутствуют
20623;нет;нет;нет;нет
20724;1. Формирование комплексной системы правового регулирования на территории курортного региона;Количество правовых актов;Единицы;Суммирование
20724;2. Создание необходимых условий для социально-экономического развития курортного региона;Количество участников проекта;Рубли;Экспертная оценка
20724;2. Создание необходимых условий для социально-экономического развития курортного региона;Объем привлеченных инвестиций на территорию курортного региона;Единицы;Экспертная оценка
20724;2. Создание необходимых условий для социально-экономического развития курортного региона;Количество вновь созданных объектов инфраструктуры медицинского лечебно-оздоровительного кластера;Единицы;Экспертная оценка
20731;Утверждение формы Сведений, обеспечивающей возможность реализации организациями, осуществляющими социальное обслуживание граждан, права на применение налоговой ставки 0 процентов по налогу на прибыль организаций.;отсутствуют;отсутствуют;отсутствуют
20755;1. Формирование комплексной системы правового регулирования на территории курортного региона;Количество правовых актов;Единицы;Суммирование
20755;2. Создание необходимых условий для социально-экономического развития курортного региона;Количество участников проекта;Единицы;Экспертная оценка
20755;2. Создание необходимых условий для социально-экономического развития курортного региона;Объем привлеченных инвестиций на территорию курортного региона;Рубли;Экспертная оценка
20755;2. Создание необходимых условий для социально-экономического развития курортного региона;Количество вновь созданных объектов инфраструктуры медицинского лечебно-оздоровительного кластера;Единицы;Экспертная оценка
20782;Предусматривается, что налоговые органы будут вправе в определенных случаях истребовать у аудиторских организаций и индивидуальных аудиторов документы (информацию), касающиеся деятельности налогоплательщика (плательщика сбора, плательщика страховых взносов,  налогового агента);отсутствуют;отсутствуют;отсутствуют
20840;нет;нет;нет;нет
20947;Недопущение ограничения конкуренции, путем осуществления государственного контроля за экономической концентрацией и рассмотрения материалов, заявлений, дел о нарушении антимонопольного законодательства в отношении финансовых организаций, поднадзорных Банку России.;количество ходатайств, заявлений, дел о нарушений антимонопольного законодательства;штук;сравнение с аналогичным периодом предыдущего года
21034;-;-;-;-
21068;Решение проблемы, указанной в п. 3.1, и предупреждение возникновения проблемы, указанной в п.3.2.											;отсутствуют	;отсутствуют	;отсутствуют	
21086;Решение проблемы, указанной в п. 3.1, и предупреждение возникновения проблемы, указанной в п.3.2.;отсутствуют;отсутствуют;отсутствуют
21086;Решение проблемы, указанной в п. 3.1, и предупреждение возникновения проблемы, указанной в п.3.2.;отсутствуют;отсутствуют;отсутствуют
21086;Решение проблемы, указанной в п. 3.1, и предупреждение возникновения проблемы, указанной в п.3.2.;отсутствуют;отсутствуют;отсутствуют
21309;Регулирование отношений между уполномоченными в сфере водопользования органами государсвтенной власти, государственными учреждениями, эксплуатирующими мелиоративные системы или гидротехнические сооружения, используемые в целях мелиорации земель и сельхозтоваропроизводителями посредством введения решения организации, владеющей на праве оперативного управления или ином законном основании мелиоративной системой (ее частью) или гидротехническим сооружением  о согласовании водопользования ;Количество полученных решений;шт.;нет
21346;-;-;-;-
21367;Мониторинг и оценка индикативных показателей не планируется;-;-;-
21379;Внесение изменений в Правила организации искусственного воспроизводства водных биологических ресурсов и Правила подготовки и принятия решения о предоставлении водных биологических ресурсов в пользование.;Количество принятых решений о предоставлении водных биологических ресурсов в пользование, количество реализованных федеральными государственными бюджетными учреждениями по сохранению водных биоресурсов (рыбводами), молоди осетровых видов рыб юридическим лицам и индивидуальным предпринимателям.;Штуки;Сравнение показателей за текущий год к отчетному году
21405;вовлечение в сельскохозяйственный оборот неиспользуемых или используемых ненадлежащим образом земельных участков из земель сельскохозяйственного назначения;площадь вовлеченных в сельскохозяйственный оборот земельных участков из земель сельскохозяйственного назначения;га;расчет не требуется
21576;создание свободных портов;отсутствуют ;-;-
21582;"Подготвка нормативного правового акта для реализации норм Федерального закона от 29.12.2014 № 459-ФЗ ""О внесении изменений в Закон Российской Федерации ""О недрах"" и отдельные законодательные акты Российской Федерации"" в Водный кодекс Российской Федерации.";отсутсвуют;отсутствуют;отсутствуют
21712;Решение проблемы, указанной в п. 3.1, и предупреждение возникновения проблемы, указанной в п. 3.2.;отсутствуют;отсутствуют;отсутствуют
21750;выявление земель занятые лесными насаждениями;площадь земель, предназначенных для лесовосстановления, к землям, занятым лесными насаждениями;га (гектар);арифметический
21926;-;-;-;-
21997;Изменение методики определения расчетных величин пожарного риска в зданиях, сооружениях и строениях различных классов функциональной пожарной опасности;Отсутствуют;Отсутствуют;Отсутствует
22155;"-
";"-
";"-
";"-
"
22769;Установление основных требований к комплексу организационных, гигиенических и санитарно-противоэпидемических (профилактических) мероприятий, проводимых с целью предупреждения возникновения инфекционных и массовых неинфекционных заболеваний при проектировании, строительстве, эксплуатации систем водоснабжения и обеспечении населения питьевой водой.;отсутствуют;-;-
22817;отсутствует;отсутствуют;отсутствуют;отсутствуют
22904;-;-;-;-
22979;Определение порядка организации услуг по перевозкам, включая порядок организации перевозок пассажиров, багажа, автотранспортных средств, железнодорожного подвижного состава между морскими портами Республики Крым, города федерального значения Севастополя и морскими портами Краснодарского края, перечня типов судов, обеспечивающих оказание услуг по перевозке, а также перечня технологических операций, выполняемых при перевозке и связанных с нею дополнительных услуг.;Отсутствуют;Отсутствуют;Отсутствуют
23140;Проектом постановления предусматривается установить перечень парфюмерно-косметической продукции, товаров бытовой химии и средств личной гигиены в соответствии с Общероссийским классификатором продукции по видам экономической деятельности, на деятельность по обороту которой не распространяется действие Федерального закона № 171-ФЗ, а также перечень парфюмерно-косметической продукции, товаров бытовой химии и средств личной гигиены в соответствии с единой Товарной номенклатурой внешнеэкономической деятельности Евразийского экономического союза, на деятельность по обороту которой не распространяется действие Федерального закона № 171-ФЗ.;Отсутствуют;Отсутствуют;Отсутствуют
23413;(Цель N);(Показатель N.1);-;-
23413;(Цель N);(Показатель N.K); ; 
23429;нет данных;нет данных;нет данных;нет данных
23448;-;-;-;-
23513;Информация будет внесена по завершению общественного обсуждения Проекта акта;Информация будет внесена по завершению общественного обсуждения Проекта акта;Информация будет внесена по завершению общественного обсуждения Проекта акта;Информация будет внесена по завершению общественного обсуждения Проекта акта
23591;Утверждение Порядка;Отсутствуют;Отсутствуют;Не требуются
23810;цели предлагаемого регулирования указаны в п. 5.1.;индикативные показатели отсутствуют;-;-
24662;совершенствования законодательства Российской Федерации о некоммерческих организаций, выполняющих функции иностранного агента и унификации отчетности некоммерческих организаций;принятие федерального закона;Ед.;Нет
25029;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
25193;Исключение из под действия Федерального закона № 171-ФЗ некоторых видов пищевой продукции с содержанием этилового спирта более 0,5 процента объема готовой продукции;отсутствует;Нормативно-правовой акт в сфере производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции;правоприменительная практика
25223;предоставление возможности налогоплательщикам - иностранным организациям, не осуществляющим деятельность на территории Российской Федерации через постоянное представительство, представить налоговому органу адрес для направления по почте документов, которые используются налоговыми органами при реализации своих полномочий, по утвержденной форме;количество представленных заявлений;шт;суммирование количества представленных заявлений
25226;приведение форм и требований к оформлению документов, представляемых в регистрирующий орган при государственной регистрации юридических лиц, индивидуальных предпринимателей и крестьянских (фермерских) хозяйств, в соответствие с изменениями, внесенными в законодательство Российской Федерации, в том числе в главу 4 части первой Гражданского кодекса Российской Федерации, а также отмена приказов ФНС России от 25.01.2012 № ММВ-7-6/25@ и от 09.06.2014 № ММВ-7-14/316@;количество заявлений (уведомлений, сообщений) заинтересованных лиц относительно включаемых или включенных в ЕГРЮЛ (ЕГРИП) сведений;шт;суммирование представленных заявлений (уведомлений, сообщений)
25259;Представление налогоплательщиками в налоговый орган уведомления об участии в иностранных организациях по утвержденной форме (формату);количество представленных уведомлений;штуки;суммирование количества уведомлений
25289;Повышение качества работ по государственной кадастровой оценке;количество случаев обжалования результатов кадастровой оценки;количество оспариваний;мониторинг рассмотрения споров о результатах кадастровой оценки
25530;Контроль и обеспечение надлежащей аптечной практики лекарственных препаратов для медицинского применении и борьба с их фальсификацией;Отсутствуют;Отсутствуют;Отсутствуют
25532;Контроль за правильностью исчисления и уплаты (удержания) налога на доходы физических лиц. Контроль за полнотой и своевременностью представления формы 6-НДФЛ;Сумма уплаченного налога на доходы физических лиц. Количество представленных расчетов сумм налога на доходы физических лиц, исчисленных и удержанных налоговым агентом;единиц;форма налоговой отчетности №5-НДФЛ
25553;Контроль и обеспечение надлежащей дистрибьютерской практики лекарственных препаратов для медицинского применении и борьба с их фальсификацией;Отсутствуют;Отсутствуют;Отсутствуют
25575;Утверждение правил надлежащей практики хранения и перевозки лекарственных препаратов для медицинского применения;Отсутствуют;Отсутствуют;Отсутствуют
25691;Реализация пункта 5 статьи 13.3 Федерального закона от 24.06.1998 № 89-ФЗ «Об отходах производства и потребления»;отсутсвуют;отсутсвуют;отсутсвуют
25711;Установление единых лицензионных требований, предъявляемых к соискателю лицензии на осуществление медицинской деятельности для обеспечения контроля за качеством оказываемых медицинских услуг;Отсутствуют;Отсутствуют;Отсутствуют
25916;Установление единого порядка аттестации экспертов, на право проведения санитарно-эпидемиологических экспертиз, расследований, обследований, исследований, испытаний и иных видов санитарно-эпидемиологических и гигиенических требований;Отношение количества аттестованных экспертов к количеству поданных претендентами заявок;%;Выраженное в процентах отношение 
25940;Установление единого порядка аттестации экспертов, на право проведения санитарно-эпидемиологических экспертиз, расследований, обследований, исследований, испытаний и иных видов санитарно-эпидемиологических и гигиенических требований.;Отношение количества аттестованных экспертов к количеству поданных претендентами заявок;%;Выраженное в процентах отношение 
25983;Утверждение Порядка контроля в местах производства актом Правительства Российской Федерации.;Не требуются;Отсутствуют;Не требуются
26060;Утверждение Положения;Отсутствуют;Отсутствуют;Не требуются
26073;Утверждение формы налогового расчета (информации) о суммах выплаченных иностранным организациям доходов и удержанных налогов, порядка её заполнения, а также формата представления налогового расчета (информации) о суммах выплаченных иностранным организациям доходов и удержанных налогов;отсутствуют;отсутствуют;отсутствуют
26227;отсутствуют;отсутствуют;отсутствуют;отсутствуют
