regulation_project_id;Описание новых или изменения существующих функций, полномочий, обязанностей или прав;Порядок реализации;Оценка изменения трудозатрат и (или) потребностей в иных ресурсах;Наименование органа
17984;порядок работы комиссии;Предусмотрен Федеральным законом № 135-ФЗ;не требуется;Росреестр, органы исполнительной власти субъектов Российской Федерации, наделенные полномочиями в сфере государственной кадастровой оценки
18013;-;-;-;Новые функции не возлагаются
18162;Не требуется;Не требуется;Не требуется;Роспотребнадзор
18209;Установление порядка определения площади негативных процессов  на земельных участках в составе земель сельскохозяйственного назначения;ведомственный акт разрабатывается в соответствии с требованиями действующего законодательства ;Реализация Минсельхозом России обязанности по установлению порядка определения площади негативных процессов  на земельных участках в составе земель сельскохозяйственного назначения не потребует дополнительных финансовых расходов;Минсельхоз России
18230;"Правительство Российской Федерации осуществляет следующие полномочия на территории курортного региона: 1)	обеспечивает проведение единой государственной политики в области охраны курортного региона; 2)	принимает решение об утверждении и изменении границ курортного региона; 3)	утверждает положение о курортном регионе; 4)	утверждает программу развития курортного региона; 5)	утверждает границы зон округа горно-санитарной охраны, а также режим ведения хозяйственной и иной деятельности на территории указанных зон; 6)	определяет уполномоченный орган; 7)	принимает решение о создании Координационного совета по вопросам развития курортного региона при Правительстве Российской Федерации, утверждает его состав и положение о нем; 8)	принимает решение о создании Научно-экспертного совета курортного региона при Правительстве Российской Федерации, утверждает его состав и положение о нем; 9)	осуществляет иные предусмотренные настоящим Федеральным законом полномочия.";Путем принятия правовых актов.;Трудозатраты не увеличиваются, дополнительные ресурсы не требуются;Правительство Российской Федерации
18230;"1)	разрабатывает программу развития курортного региона и обеспечивает ее реализацию;  2)	согласовывает схемы территориального планирования субъектов Российской Федерации, на территории которых расположен курортный регион, в установленном им порядке; 3)	обеспечивает проведение землеустроительных и кадастровых работ в отношении границ округа горно-санитарной охраны и зон округа горно-санитарной охраны, за исключением вынесения на местность границ зон округа горно-санитарной охраны; 4)	проводит мониторинг эффективности деятельности федеральных органов исполнительной власти, их территориальных органов на территории курортного региона, в установленном им порядке; 5)	осуществляет международное сотрудничество в сфере развития курортного региона;   6)	осуществляет иные предусмотренные настоящим Федеральным законом полномочия. порядке; 5)	осуществляет международное сотрудничество в сфере развития курортного региона;   6)	осуществляет иные предусмотренные настоящим Федеральным законом полномочия.";Путем принятия правовых актов.;Трудозатраты не увеличиваются, дополнительные ресурсы не требуются;Уполномоченный федеральный орган исполнительной власти
18247;Не предусмотрены;Не предусмотрены;Не предусмотрены;Росстат
18484;Новые функции, полномочия и обязанности органов власти не предусмотрены ;Новые функции, полномочия и обязанности органов власти не предусмотрены ;"Новые функции, полномочия и обязанности органов власти не предусмотрены. 

";Новые функции, полномочия и обязанности органов власти не предусмотрены 
18716;Отсутствует;Отсутствует;Отсутствует;Введение новых функций, полномочий, обязанностей и прав федеральных органов исполнительной власти, органов государственной власти субъектов Российской Федерации и органов местного самоуправления или их изменение предлагаемым нормативным правовым актом не предполагается
18827;"- заключение соглашений о корпоративной гарантии;
временное управление средствами фонда ";"- в соответствии с Порядком подготовки и заключения соглашения о корпоративной гарантии, который будет разработан в реализацию законопроекта;
- аналогично Порядку учета средств, поступающих во временное распоряжение Федерального агентства по недропользованию, его териториальных органов и бюджетных организаций, утвержденному приказом Роснедр от 21.07.2008 № 662, а также Инструкции о порядке учета средств, поступающих во временное распоряжение структурных подразделений территориальных органов Федеральной службы судебных приставов, утвержденной приказом Минюста России № 11 и Минфина России № 15н от 
25.01.2008  ";в пределах установленной Правительством Российской Федерации предельной численности работников Роснедр, а также бюджетных ассигнований, предусмотренных Агентству на руководство и управление в сфере установленных функций;Наименование органа: Роснедра
18888;При реализации норм, предусмотренных проектом федерального закона, новых функций, полномочий, обязанностей и прав не возникнет;-;-;-
19058;Ограничение допуска отдельных видов иностранных товаров при осуществлении государственных закупок ;-----;Не потребуется;Минсельхоз России Минэкономразвития России ФАС России
19215;Осуществление контроля и координации деятельности органов регионального государственного надзора в области защиты населения и территорий от чрезвычайных ситуаций природного и техногенного характера;постановление Правительства Российской Федерации «О государственном надзоре в области защиты населения и территорий от чрезвычайных ситуаций природного и техногенного характера»;Не требуется;МЧС России
19244;-;-;-;-
20252;не требуется;не требуется;не требуется;Минздрав России
20290;Утверждение формы документа содержащего результаты мониторинга эффективности и безопасности лекарственного препарата, проводимого держателем или владельцем регистрационного удостоверения лекарственного препарата либо уполномоченным ими юридическим лицом, прилагаемого к заявлению о подтверждении государственной регистрации лекарственного препарата;Утверждение формы документа содержащего результаты мониторинга эффективности и безопасности лекарственного препарата, проводимого держателем или владельцем регистрационного удостоверения лекарственного препарата либо уполномоченным ими юридическим лицом, прилагаемого к заявлению о подтверждении государственной регистрации лекарственного препарата;не требуется;Министерство здравоохранения Российской Федерации  (Минздрав России)
20292;Не предполагается;Не предполагается;Не предполагается;нет 
20305;"Минстрой России:  Выра-ботка и реализация госу-дарственной политики  и нормативно-правового регулирования в сфере похоронного дела.
Орган государственной власти субъектов Россий-ской Федерации в сфере похоронного дела: 
1. Нормативно-правовое регулирование в сфере похоронного дела; 
2. Организация похорон-ного дела; 
3. Ведение реестра специ-ализированных служб по вопросам похоронного дела и реестра недобро-совестных специализиро-ванных служб по вопро-сам похоронного дела.
Уполномоченный орган в сфере похоронного дела (орган местного само-управления):
1. Нормативно-правовое регулирование в сфере похоронного дела;
2. Организация предо-ставления гарантирован-ного перечня услуг по по-гребению специализиро-ванными службами по вопросам похоронного дела и осуществление контроля за их деятельно-стью;
3. Создание и содержание объектов похоронного назначения;
4. Ведение учета мест за-хоронений и кладбищ;
5. Заключение соглаше-ний со специализирован-ными службами по во-просам похоронного дела об осуществлении дея-тельности по организации похорон и предоставле-ния гарантированного перечня услуг по погре-бению, а также осуществ-ление контроля за их дея-тельностью;
6. Организация погребе-ния умерших, чья лич-ность не установлена ор-ганами внутренних дел Российской Федерации;
7. Предоставление мест захоронений, а также участков для создания семейных (родовых) мест захоронений.


";"Минстрой России: Внесе-ние изменений в поста-новление Правительства Российской Федерации от 18.11.2013 № 1038 «О Министерстве строитель-ства и жилищно-коммунального хозяйства Российской Федерации».  
Орган государственной власти субъектов Россий-ской Федерации в сфере похоронного дела: 
1. Внесение изменений в нормативные правовые акты, принятие необхо-димых нормативных пра-вовых актов;
2. Ведение реестра специ-ализированных служб по вопросам похоронного дела и реестра недобро-совестных специализиро-ванных служб по вопро-сам похоронного дела.
Уполномоченный орган в сфере похоронного дела (орган местного само-управления):
1. Внесение изменений в нормативные правовые акты, принятие необхо-димых нормативных пра-вовых актов;
2. Создание, содержание объектов похоронного назначения; 
3. Ведение учета мест за-хоронений; 
4. Предоставление мест захоронений и участков под создание семейных (родовых) мест захороне-ний;
5. Заключение соглаше-ний со специализирован-ными службами по во-просам похоронного дела об осуществлении дея-тельности по организации похорон и предоставле-ния гарантированного перечня услуг по погре-бению, а также осуществ-ление контроля за их дея-тельностью.




";"Минстрой России: Требу-ется оценка трудозатрат;
Орган государственной власти субъектов Россий-ской Федерации в сфере похоронного дела: Не требуется;
Уполномоченный орган в сфере похоронного дела (орган местного само-управления): Требуется оценка трудозатрат.";"Минстрой России, Орган государственной власти субъектов
Российской Федерации"
20311;Не предполагается;нет;нет;нет
20623;нет;нет;нет;нет
20724;Могут установить пониженную налоговую ставку налога на прибыль, подлежащего зачислению в бюджеты субъектов Российской Федерации, от деятельности, осуществляемой организациями – участниками проекта развития медицинского лечебно-оздоровительного кластера , при условии ведения раздельного учета доходов (расходов), полученных (понесенных) от деятельности, осуществляемой на территории медицинского лечебно-оздоровительного кластера Кавказских Минеральных Вод, и доходов (расходов), полученных (понесенных) при осуществлении деятельности за пределами медицинского лечебно-оздоровительного кластера Кавказских Минеральных Вод. При этом размер указанной налоговой ставки не может быть выше 5 % - в течении 5 налоговых периодов с момента получения первой прибыли, и не ниже 10 % - в течение следующих 5 налоговых периодов.;-;-;Органы исполнительной власти субъектов Российской Федерации
20731;Прием  Сведений, предусмотренных  пунктом 6 статьи 284.5 Налогового кодекса Российской Федерации, полученных от российских организаций.;не требуется;отсутствует;ФНС России и ее территориальные органы
