regulation_project_id;Группа участников отношений;Описание новых или изменения содержания существующих обязанностей и ограничений;Описание и оценка видов расходов (доходов)
18888;Юридические лица, индивидуальные предприниматели и организации осуществляющие в пунктах пропуска хозяйственную деятельность, связанную с внешнеторговыми операциями и имеющие в собственности имущество в пунктах пропуска;В случае если движимое и недвижимое имущество, необходимое для организации пограничного, таможенного и иных видов контроля в пункте пропуска, создано (приобретено) за счет средств физических или юридических лиц и находятся в их собственности, такое имущество должно быть передано в безвозмездное пользование федеральным органам исполнительной власти. При реализации такой нормы у собственника возникает возможность при определении налогооблагаемой базы учесть в расходах сумму на содержание данного имущества.; 
19058;Минсельхоз России;Отсутствует;Отсутствует
19058;Минэкономразвития России;Отсутствует;Отсутствует
19058;Сельхозтоваропроизводители;Отсутствует;Отсутствует
19058;ФАС России;Отсутствует;Отсутствует
19215;"Федеральные органы исполнительной власти, государственные корпорации и организации, создающие функциональные подсистемы единой государственной системы предупреждения и ликвидации чрезвычайных ситуаций; органы исполнительной власти субъектов Российской Федерации; организации, входящие в состав функциональных подсистем единой государственной системы предупреждения и ликвидации чрезвычайных ситуаций; организации, эксплуатирующие критически важные объекты и потенциально опасные объекты; органы местного самоуправления; организации, входящие в состав территориальных подсистем единой государственной системы предупреждения и ликвидации чрезвычайных ситуаций, за исключением организаций, в отношении которых осуществляется федеральный государственный надзор";Проект постановления не содержит положений, устанавливающих или изменяющих ранее предусмотренные законодательством Российской Федерации и иными нормативными правовыми актами обязанностей, запретов и ограничений для физических и юридических лиц в сфере предпринимательской и иной экономической деятельности или способствующих их установлению, а также положений, приводящих к увеличению ранее предусмотренных законодательством Российской Федерации и иными нормативными правовыми актами расходов физических и юридических лиц в сфере предпринимательской и иной экономической деятельности;Не предусмотрены
19244;субъекты градостроительных отношений;не определено; 
20252;Все участники обращения лекарственных средств;отсутствуют;отсутствуют
20290;Все участники обращения лекарственных средств.;Утверждение формы документа содержащего результаты мониторинга эффективности и безопасности лекарственного препарата, проводимого держателем или владельцем регистрационного удостоверения лекарственного препарата либо уполномоченным ими юридическим лицом, прилагаемого к заявлению о подтверждении государственной регистрации лекарственного препарата;не предусматривается
20292;Лица, имеющие право подать заявление о выдаче прокатного удостоверения: продюсер, прокатчик, демонстратор, иное лицо, имеющее право на соответствующий способ использования фильма.;нет;За выдачу прокатного удостоверения на фильм необходимо оплатить государственную пошлину в размере 3500 рублей.
20305;Организации, осуществляющие деятельность в сфере похоронного дела;Обязанность осуществлять деятельность по организации похорон только при условии заключения соглашение юридического лица с уполномоченным органом в сфере похоронного дела об осуществлении деятельности по организации похорон (похоронная  служба по вопросам похоронного дела) на основании договора на оказание услуг по организации похорон; 
20311;Представители фестивального сообщества, продюсеры кино и телевидения, телеканалов.;Разрешается на территории Российской Федерации прокат и (или) показ фильма без прокатного удостоверения, устанавливающего, в частности, способ использования фильма по эфирному, кабельному, спутниковому телевидению и показа фильма на проводимом на территории Российской Федерации кинофестивале.; 
20623;нет;нет;нет
20724;-;-;-
20731;Российские организации, осуществляющие социальное обслуживание граждан, и воспользовавшиеся правом на применение налоговой ставки 0 процентов по налогу на прибыль организаций.;Организации, осуществляющие социальное обслуживание граждан, применяющие налоговую ставку 0 процентов в сооответствии со статьей 284.5 Налогового кодекса Российской Федерации, по окончаниии каждого налогового периода, в течение которого они применяют налоговую ставку 0 процентов, в сроки, установленные главой 25 для представления налоговой декларации по налогу на прибыль организаций, представляют сведения о доле доходов организации, осуществляющей социальное обслуживание граждан, в общей сумме доходов, и о численности работников в штате организации.;Отсутствуют.
20755;-;-;-
20782;Субъекты аудиторской деятельности;Представление истребуемых документов (информации) налоговым органам в порядке и сроки, предусмотренные статьей 93.1 Налогового кодекса Российской Федерации; 
20840;нет;нет;нет
20947;финансовые организации, поднадзорные Банку России;отсутствуют;отсутствуют
21034;Принятие законопроекта не приведет к дополнительным расходам субъектов предпринимательской и иной экономической деятельности, связанных с необходимостью соблюдения установленных обязанностей или ограничений.;-;-
21068;"Негосударственные пенсионные фонды, осуществляющие деятельность по обязательному пенсионному страхованию																Пенсионный фонд Российской Федерации																														
											
";"Предоставление досрочного негосударственного пенсионного обеспечения в рамках системы обязательного пенсионного страхования																																						
Рассмотрение и обработка поступающей информации																																						
"; 
21086;Негосударственные пенсионные фонды, осуществляющие деятельность по обязательному пенсионному страхованию                Пенсионный фонд Российской Федерации. Организации и предприятия  на которых находятся рабочие места с вредными и (или) опасными условиями труда, подтвержденными результатами специальной оценки условий труда.;Предоставление досрочного негосударственного пенсионного обеспечения в рамках системы обязательного пенсионного страхования.   Юридические лица, индивидуальные предприниматели – работодатели, их объединения, создающие системы досрочного негосударственного пенсионного обеспечения. Пенсионный фонд Российской Федерации осуществляет  рассмотрение и обработку поступающей информации по досрочному негосударственного пенсионного обеспечения.; 
21309;"1. Федеральные государственные бюджетные учреждения, подведомственные Минсельхозу России 

2. Сельхозтоваропроизводители и иные водопользователи, осуществляющие забор (сброс) водных ресурсов из (в) мелиоративных систем
";Получение письменного решения организации, которая владеет на праве оперативного управления или ином законном основании мелиоративной системой (ее частью) или гидротехническим сооружением, находящимися в федеральной собственности и используемыми в целях мелиорации земель, о согласовании осуществления водопользования на водных объектах; 
21346;-;-;-
21367;Изготовители новых видов средств связи;Порядок подтверждения соответствия средств связи не изменяется;-
21367;Операторы сетей подвижной радиотелефонной связи;Порядок подтверждения соответствия средств связи не изменяется; 
21379;Росрыболовство, территориальные управления Росрыболовства;Уточнение условий предоставления осетровых видов рыб в пользование.;Отсутствует
21379;Федеральные государственные бюджетные учреждения, подведомственные Росрыболовству;Установление возможности реализации федеральными государственными бюджетными учреждениями по сохранению водных биоресурсов (рыбводами), подведомственными Росрыболовству, молоди осетровых видов рыб юридическим лицам и индивидуальным предпринимателям для формирования ремонтно-маточных стад.;Отсутствует
21379;Юридические лица и индивидуальные предприниматели;Ограничение реализации осетровых видов рыб, добытых (выловленных) в рамках осуществления работ по сохранению водных биоресурсов.;Отсутствует
21405;граждане и юридические лица, являющиеся собственниками земельных участков из земель сельскохозяйственного назначения;законопроект предусматривает обязанность собственника земельного участка из земель сельскохозяйственного назначения, в отношении которого в Едином государственном реестре недвижимости содержатся сведения о результатах государственного земельного надзора, указывающие на ненадлежащее использование или неиспользование такого земельного участка для ведения сельскохозяйственного производства или осуществления иной связанной с сельскохозяйственным производством деятельности в течение трех и более лет подряд, приступить к использованию такого земельного участка в течении года с момента возникновения права собственности на такой участок;раходы не потребуются
21576;Отсутствует ;-; 
21582;отсутствует;отсутствует;отсутсвует
21712;Юридические лица, не являющиеся частными агентствами занятости и определенные нормативно правовым актом;установление порядка регулирования трудовых отношений с направляемыми работниками, а также обязанности и права сторон, участвующих в данном механизме;не повлечет затрат со стороны указанного круга юридических лиц
21750;лица, осуществляющие мероприятия по лесовосстановлению;новые обязанности и ограничения не предусмотрены.;расходы в пределах выполнения мероприятий по лесовосстановлению в соответствии со статьей 62 Лесного кодекса Российской Федерации
21926;Принятие проекта приказа Минтранса России не приведет к дополнительным расходам субъектов предпринимательской и иной экономической деятельности, связанных с необходимостью соблюдения установленных обязанностей или ограничений;-;-
21997;Заинтересованные лица;Не предусмотрены;Не предусмотрены
22155;принятие приказа не приведет к изменению расходов и доходов субъектов предпринимательской и иной экономической деятельности ;-; 
22769;Юридические лица, индивидуальные предприниматели деятельность которых связана с проектированием, строительством, эксплуатацией систем водоснабжения и обеспечением населения питьевой водой.;не предусматривается;не предусматривается
22817;отсутствует;отсутствует;отсутствует
22904;Граждане, юридическими лицами и индивидуальными предпринимателями, деятельность которых связана с проектированием, строительством, реконструкцией, эксплуатацией организаций профессионального образования, обучением и воспитанием студентов в организациях профессионального образования.;Не предусматривается;Не предусматривается
22904;Территориальные органы федерального органа исполнительной власти, осуществляющего государственный санитарно-эпидемиологический надзор (контроль) за соблюдением санитарных правил;Не предусматривается;Не предусматривается
22904;Федеральный орган исполнительной власти, осуществляющий государственный санитарно-эпидемиологический надзор (контроль) за соблюдением санитарных правил;Не предусматривается;Не предусматривается
22979;Юридические лица, участвующие в оказании услуг по перевозке пассажиров, багажа, автотранспортных средств, железнодорожного подвижного состава между морскими портами Республики Крым, города федерального значения Севастополя и морскими портами Краснодарского края, в т. ч. перевозчики, владельцы инфраструктуры морских портов.;Нет;Нет
23140;Организации, осуществляющие оборот спиртосодержащей непищевой продукции;Обязанности и ограничения не изменятся;Дополнительных расходов не потребуется
23413;-;-;-
23429;нет данных;нет данных;нет данных
23448;-;-;-
23513;Информация будет внесена по завершению общественного обсуждения Проекта акта;Информация будет внесена по завершению общественного обсуждения Проекта акта;Информация будет внесена по завершению общественного обсуждения Проекта акта
23591;Отсутствуют;Установление обязанностей и ограничений проектом акта не предполагается;Не требуется
23810;-;-; 
24662;некомерческие организации, федеральные государственные и муниципальные служащие, российские юридические лица;уточняются объем и состав сведений, включаемых в отчетность некоммерческих организаций, в том числе выполняющих функции иностранного агента, и унифицируется порядок ее представления некоммерческими организациями и общественными объединениями, предусмотрено изменение порядка обнародования отчетности структурных подразделений иностранных некоммерческих неправительственных организаций по аналогии с действующим порядком обнародования отчетности российских некоммерческих организаций, конкретизируются основания внесения некоммерческой организации в реестр некоммерческих организаций, выполняющих функции иностранного агента: в заявительном порядке или на основании решения уполномоченного органа, принятого в связи с выявлением в деятельности некоммерческой организации признаков некоммерческой организации, выполняющей функции иностранного агента. Кроме того, законопроектом предлагается установить обязанность российских юридических лиц, перечисляющих (передающих) денежные средства (иное имущество) некоммерческим организациям, информировать их о получении ими денежных средств и иного имущества от иностранных источников. Законопроектом устанавливаются запреты для лиц, замещающих должности государственной гражданской службы;расходы не предполагаются
25029;Пользователи радиочастотным спектром;Новых расходов и доходов проектом приказа не предусмотрено;Новых расходов и доходов проектом приказа не предусмотрено
25193;Организации, осуществляющие оборот спиртосодержащей пищевой продукции;Обязанности и ограничения не изменятся;Дополнительных расходов не потребуется
25223;налогоплательщики - иностранные организации, не осуществляющие деятельность на территории Российской Федерации через постоянное представительство;иностранной организации, не осуществляющей деятельность на территории Российской Федерации через постоянное представительство, обеспечена возможность предоставления налоговому органу заявления по утвержденной форме об адресе для направления по почте документов, которые используются налоговыми органами при реализации своих полномочий;отсутствует
25226;юридические лица, в том числе крестьянские (фермерские) хозяйства, индивидуальные предприниматели, крестьянские (фермерские) хозяйства без образования юридического лица, сведения о которых включены или включаются в ЕГРЮЛ (ЕГРИП);направление регистрирующему органу оформленных в соответствии с установленными требованиями документов по утвержденным формам; 
25259;Налогоплательщики – организации и физические лица;Представление в налоговый орган уведомления не влечет расходов; 
25289;Отсутствуют;Отсутствуют;Отсутствуют
25530;Все участники обращения лекарственных средств;отсутствуют;отсутствуют
25532;налоговые агенты;обязанность представлять расчет по форме 6-НДФЛ;не изменяется
25553;Все участники обращения лекарственных средств;отсутствуют;отсутствуют
25575;Все участники обращения лекарственных средств;Утверждение правил надлежащей практики хранения и перевозки лекарственных препаратов для медицинского применения;не предусматривается
25691;Отсутствуют;Отсутствуют;Отсутствуют
25711;Юридические лица или индивидуальные предприниматели, осуществляющие медицинскую деятельность;Изменения касаются лицензионных требований к соискателям лицензии и лицензиатам;отсутствует
25916;Претенденты, эксперты;не определены; 
25940;эксперты;не определены; 
25983;Юридические и физические лица, осуществляющие деятельность, связанную с производством (в том числе переработкой), отгрузкой подкарантинной продукции, предназначенной для ввоза в Российскую Федерацию в целях ее использования для посевов и посадок.;Контроль в местах производства будет осуществляться в соответствии с Порядком;Не требуется.
26060;Юридические лица, индивидуальные предприниматели – соискатели лицензии на право осуществления карантинного фитосанитарного обеззараживания;Соблюдение лицензиатами лицензионных требований;До установления лицензионных требований оценка расходов не представляется возможной
26073;Российские организации и иностранные организации, осуществляющие деятельность в Российской Федерации через постоянное представительство, выплачивающие доход иностранной организации.;Представление в налоговые органы новой утвержденной формы налогового расчета (информации) о суммах выплаченных иностранным организациям доходов и удержанных налогов за прошедший отчетный (налоговый) период.;отсутствуют
