regulation_project_id;Содержательные издержки: Описание социально-экономических последствий реализации проекта акта;Содержательные издержки: Единовременные;Содержательные издержки: Периодические;Информационные издержки: Описание социально-экономических последствий реализации проекта акта;Информационные издержки: Единовременные;Информационные издержки: Периодические;Преимущества и (или) иные выгоды: Описание социально-экономических последствий реализации проекта акта;Преимущества и (или) иные выгоды: Единовременные;Преимущества и (или) иные выгоды: Периодические
61009;В течении года после принятия законопроекта производителям и импортерам будет дана возможность адаптироваться к требованию по указании в информации, сопровождающей вино, игристое вино (шампанское), находящихся в розничной продаже на территории Российской Федерации, сведений о стране или странах происхождения винограда, виноградного сусла и (или) виноматериалов, использованных для производства вина, игристого вина (шампанского).  Как правило тиражи этикеток и упаковки не заказываются производителями и импортерами с расчетом на 1 год. ;В случае если в течении года тираж старых образцов этикеток или упаковки не израсходован потребуется изготовление стикеров или новых этикеток и упаковки ;отсуствуют;Размещение разъяснения на официальном сайте Минсельхоза России по информированию о стране или странах происхождения винограда, виноградного сусла и (или) виноматериалов, использованных для производства вина, игристого вина (шампанского). После принятия законопроекта последует официальное разъяснение, что указанную информацию необходимо указывать комплексно с учетом всех заключенных (контрактов) сделок;в рамках действующих бюдетных ассигнований Минсельхоза России;отсуствуют;"Информированность отечественного потребителя о стране происхождения основного сырья, используемого для производства вина, игристого вина (шампанского). 
Упрощение администрирования рекламы вина, игристого вина (шампанского), произведенных в Российской Федерации из выращенного на территории Российской Федерации винограда.
Улучшение информированности отечественного потребителя о качестве и особенностях настоящего российского вина, игристого вина (шампанского).";"Информированность отечественного потребителя о стране происхождения основного сырья, используемого для производства вина, игристого вина (шампанского). 
Упрощение администрирования рекламы вина, игристого вина (шампанского), произведенных в Российской Федерации из выращенного на территории Российской Федерации винограда.
Улучшение информированности отечественного потребителя о качестве и особенностях настоящего российского вина, игристого вина (шампанского).";постоянно
61009;Отдельные производители или импортеры могут ошибочно предположить о необходимости каждый раз указывать, сведения о стране или странах происхождения винограда, виноградного сусла и (или) виноматериалов, использованных для производства вина, игристого вина (шампанского). После принятия законопроекта последует официальное разъяснение, что указанную информацию необходимо указывать комплексно с учетом всех заключенных (контрактов) сделок. ;отсутствуют;отсуствуют;иные отсуствуют;иные отсуствуют;иные отсуствуют;"Увеличение доли отечественного сырья при производстве вина, игристого вина (шампанского) в Российской Федерации.
Создание и совершенствование механизмов контроля подлинной страны происхождения вина, игристого вина (шампанского), в том числе новых категорий с защищенным географическим указаниям, защищенным наименованием места происхождения.
Рост производства отечественной высококачественной винодельческой продукции и улучшение культуры потребления вина, игристого вина (шампанского).";2019 г.;2022
61635;-;-;-;-;-;-;-;-;-
61635;-;-;-;-;-;-;-;-;-
61890;Предоставление услуг в сфере отдыха и оздоровления детей в соответствии с законодательством Российской Федерации;0;0;Представление информации о деятельности организаций отдыха детей  и их оздоровления, а также индивидуальных предпринимателях, оказывающих услуги в сфере отдыха и оздоровления детей, в уполномоченный орган исполнительной власти субъекта Российской Федерации в сфере организации отдыха и оздоровления детей для включения в реестр организаций отдыха детей и их оздоровления ;0;0;"Налоговые  льготы для организаций отдыха детей и их оздоровления устанавливаются законодательством субъектов Российской Федераци. Основными направлениями налоговой политики на 2018 и 2019 годы предусматривается поэтапная отмена действующих налоговых льгот, установленных на федеральном уровне по региональным и местным налогам, 
с передачей соответствующих полномочий на региональный (местный) уровень (введение механизма «двух ключей»)";"Налоговые  льготы для организаций отдыха детей и их оздоровления устанавливаются законодательством субъектов Российской Федераци. Основными направлениями налоговой политики на 2018 и 2019 годы предусматривается поэтапная отмена действующих налоговых льгот, установленных на федеральном уровне по региональным и местным налогам, 
с передачей соответствующих полномочий на региональный (местный) уровень (введение механизма «двух ключей»)";0
61890; ; ; ; ; ; ; ; ; 
62214;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
62214;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
62515;нет;нет;нет;нет;нет;нет;нет;нет;нет
62515;нет;нет;нет;нет;нет;нет;нет;нет;нет
62518;нет;нет;нет;нет;нет;нет;нет;нет;нет
62518;нет;нет;нет;нет;нет;нет;нет;нет;нет
62668;Целевые отчисления от азартных игр;-;Количественную оценку подлежащих уплате и фактически выплаченных целевых отчислений от азартных игр организаторами азартных игр в букмекерских конторах, принимающих ставки на спортивные мероприятия, возможно представить после проведения анализа сведений о представлении в СРО целевых отчислений в адрес субъектов профессионального спорта. ;Нет данных;-;-;-;-;-
62668;Вид издержек N;-;-;Вид издержек N;-;-;Вид издержек N;-;-
62982;Обеспечение доступности цифровых кинофильмов для инвалидов по зрению и слуху, создание  наиболее благоприятных условий для доступа инвалидов к аудиовизуальным произведениям,  реализацию положений Конвенции о правах инвалидов в части защиты и обеспечения полного и равного осуществления всеми инвалидами прав и свобод человека и гражданина.;издержки отсутствуют;издержки отсутствуют;нет;нет;нет;нет;нет;нет
62982;нет;издержки отсутствуют;издержки отсутствуют;нет;нет;нет;нет;нет;нет
63244;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Ежегодно
63244;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
63261;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
63261;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
63265;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
63265;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
63540;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
63540;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
63639;-;-;-;-;-;-;-;-;-
63639;-;-;-;-;-;-;-;-;-
63710;________________________________________________________________________________________;______________________________________________;___________________________________________________;_______________________________________________________________________________________________________;__________________________________________________;___________________________________________________________;_____________________________________________;_____________________________________________;____________________________________________________________
63710;________________________________________________________________________________________;_______________________________________________;_____________________________________________________;_______________________________________________________________________________________________________;__________________________________________________;____________________________________________________________;______________________________________________________________________________________________________;_______________________________________________;____________________________________________________________-
63800;-;-;-;-;-;-;-;-;Возможность долгосрочного планирования налогового бремени
63800;-;-;-;-;-;-;-;-;-
64001;-;-;-;-;-;-;-;-;-
64001;-;-;-;-;-;-;-;-;-
64031;-;-;-;-;-;-;-;-;-
64031;-;-;-;-;-;-;-;-;-
64124;Нет данных;-;-;Нет данных;-;-;-;-;-
64124;Вид издержек N;-;-;Вид издержек N;-;-;Преимущество N;-;-
64133;Нет данных;-;-;Нет данных;-;-;-;-;-
64133;Вид издержек №;-;-;Вид издержек №;-;-;Преимущество №;-;-
64136;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
64136;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
64363;-;-;-;-;-;-;-;-;-
64363;-;-;-;-;-;-;-;-;-
64413;-;-;-;-;-;-;-;-;-
64413;-;-;-;-;-;-;-;-;-
64502;-;-;-;-;-;-;-;-;-
64502;-;-;-;-;-;-;-;-;-
64514;нет;нет;нет;нет;нет;нет;нет;нет;нет
64514;нет;нет;нет;нет;нет;нет;нет;нет;нет
64555;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
64555;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
64599;-;-;-;-;-;-;-;-;-
64599;-;-;-;-;-;-;-;-;-
64604;-;-;-;-;-;-;-;-;-
64604;-;-;-;-;-;-;-;-;-
64613;Информация  уточняется;Информация  уточняется;Информация  уточняется;Информация  уточняется;Информация  уточняется;Информация  уточняется;Информация  уточняется;Информация  уточняется;Информация  уточняется
64613;Информация  уточняется;Информация  уточняется;Информация  уточняется;Информация  уточняется;Информация  уточняется;Информация  уточняется;Информация  уточняется;Информация  уточняется;Информация  уточняется
65854;Информация уточняется.;Информация уточняется.;Информация уточняется.;Информация уточняется.;Информация уточняется.;Информация уточняется.;Информация уточняется.;Информация уточняется.;Информация уточняется.
65854;Информация уточняется.;Информация уточняется.;Информация уточняется.;Информация уточняется.;Информация уточняется.;Информация уточняется.;Информация уточняется.;Информация уточняется.;Информация уточняется.
66048;Отсутствуют;Отсутствует;Отсутствует;Отсутствуют;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует
66048;Отсутствуют;Отсутствует;Отсутствует;Отсутствуют;Отсутствует;Отсутствует;Отсутствуют;Отсутствует;Отсутствует
66675;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует
66675;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует
66681;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
66681;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
66768;-;-;-;-;-;-;-;-;-
66768;-;-;-;-;-;-;-;-;-
66959;Создание благоприятных условий для доступа граждан к наибольшему числу фильмов, отечественного и зарубежного производства, что позволит обеспечить многообразие демонстрируемых фильмов в кинотеатрах.;издержки отсутствуют ;издержки отсутствуют ;нет;нет;нет;нет;нет;нет
66959;нет;издержки отсутствуют ;издержки отсутствуют ;нет;нет;нет;нет;нет;нет
67043;Создание благоприятных условий для доступа граждан к наибольшему числу фильмов, отечественного и зарубежного производства, что позволит обеспечить многообразие демонстрируемых фильмов в кинотеатре;издержки отсутствуют ;издержки отсутствуют;нет;нет;нет;нет;нет;нет
67043;нет;издержки отсутствуют;издержки отсутствуют;нет;нет;нет;нет;нет;нет
67056;Отсутствуют;-;-;Формирование инвестиционных программ, включая прилагаемые обосновывающие документы, в соответствии с установленным порядком и требованиями;-;при необходимости для целей реализации мероприятий инвестиционных программ;-;-;на постоянной основе
67056;_;-;-;-;-;-;-;-;-
67197;данные отсутствуют;данные отсутствуют;данные отсутствуют;данные отсутствуют;данные отсутствуют;данные отсутствуют;данные отсутствуют;данные отсутствуют;данные отсутствуют
67197;данные отсутствуют;данные отсутствуют;данные отсутствуют;данные отсутствуют;данные отсутствуют;данные отсутствуют;данные отсутствуют;данные отсутствуют;данные отсутствуют
67291;-;-;-;-;-;-;-;-;-
67291;-;-;-;-;-;-;-;-;-
67580; ; ; ; ; ; ; ; ; 
67580; ; ; ; ; ; ; ; ; 
67584;нет;нет;нет;нет;нет;нет;нет;нет;нет
67584;нет;нет;нет;нет;нет;нет;нет;нет;нет
67633;-;-;-;-;-;-;-;-;-
67633;-;-;-;-;-;-;-;-;-
67683;социально-экономические последствия отсутствуют ;0;0;социально-экономические последствия отсутствуют ;0;0;0;0;0
67683;социально-экономические последствия отсутствуют ;0;0;социально-экономические последствия отсутствуют ;0;0;отсутствуют;0;0
67764;-;-;-;-;-;-;-;-;-
67764;-;-;-;-;-;-;-;-;-
67967;не имеется;не имеется;не имеется;не имеется;не имеется;не имеется;не имеется;не имеется;не имеется
67967;не имеется;не имеется;не имеется;не имеется;не имеется;не имеется;не имеется;не имеется;не имеется
67976;-;-;-;-;-;-;-;-;-
67976;-;-;-;-;-;-;-;-;-
68082;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;Снижение риска нарушений в области обработки персональных данных ;Снижение риска нарушений в области обработки персональных данных ;отсутствует
68082;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;Совершенствование полномочий РКН по контролю за соблюдением прав граждан в области обработки персональных данных ;отсутствует;отсутствует
68186;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;-;-;-
68186;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;-;-;-
68227;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
68227;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
68393;Информация отсутствует ;Информация отсутствует ;Информация отсутствует ;Информация отсутствует ;Информация отсутствует ;Информация отсутствует ;Информация отсутствует ;Информация отсутствует ;Информация отсутствует 
68393;Информация отсутствует  ;Информация отсутствует ;Информация отсутствует ;Информация отсутствует ;Информация отсутствует ;Информация отсутствует ;Информация отсутствует ;Информация отсутствует ;Информация отсутствует 
68399;Реализация проекта акта позволит устранить риски, связанные с деятельностью контролирующих органов;-;-;-;-;-;-;-;-
68399;-;-;-;-;-;-;-;-;-
69602;отсутствуют;0;0;отсутствуют;0;0;0;0;0
69602;отсутствуют;0;0;отсутствуют;0;0;отсутствуют;0;0
69666;отсутствуют;0;0;отсутствуют;0;0;0;0;0
69666;отсутствуют;0;0;отсутствуют;0;0;отсутствуют;0;0
69734;нет.;нет.;нет.;нет.;нет.;нет.;Снижение административной нагрузки на организации, которое может быть достигнуто при наличии единого планирующего документа в области защиты населения и территорий от чрезвычайных ситуаций - Плана действий по предупреждению и ликвидации чрезвычайных ситуаций;Снижение административной нагрузки на организации, которое может быть достигнуто при наличии единого планирующего документа в области защиты населения и территорий от чрезвычайных ситуаций - Плана действий по предупреждению и ликвидации чрезвычайных ситуаций;_
69734;нет.;нет.;нет.;нет.;нет.;нет.;_;_;_
69880;-;-;-;-;-;-;-;-;-
69880;-;-;-;-;-;-;-;-;-
69975;анализ не производился ;анализ не производился ;анализ не производился ;анализ не производился ;анализ не производился ;анализ не производился ;анализ не производился ;анализ не производился ;анализ не производился 
69975;анализ не производился ;анализ не производился ;анализ не производился ;анализ не производился ;анализ не производился ;анализ не производился ;анализ не производился ;анализ не производился ;анализ не производился 
69980;анализ не проводился;анализ не проводился;анализ не проводился;анализ не проводился;анализ не проводился;анализ не проводился;анализ не проводился;анализ не проводился;анализ не проводился
69980;анализ не проводился;анализ не проводился;анализ не проводился;анализ не проводился;анализ не проводился;анализ не проводился;анализ не проводился;анализ не проводился;анализ не проводился
70040;Вид издержек 1;-;-;Вид издержек 1;-;-;-;-;-
70040;Вид издержек N;-;-;Вид издержек N;-;-;Преимущество N;-;-
70133;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
70133;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
70195;-;-;-;-;-;-;-;-;-
70195;-;-;-;-;-;-;-;-;-
71277;предотвращение нарушений работы сети Интернет на территории России в результате целенаправленных действий;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
71277;поддержание целостности, устойчивости и безопасности функционирования единой сети Интернет;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;совершенствование правового регулирования отношений, возникающих в телекоммуникационной сфере с учетом современных тенденций развития и внедрения перспективных технологий;отсутствуют;отсутствуют
71333;отсутствуют;-;-;отсутствуют;-;-;-;-;-
71333;-;-;-;-;-;-;-;-;-
71422;осутствуют;0;0;отсутствуют;0;0;0;0;0
71422;отсутствуют;0;0;отсутствуют;0;0;отсутствуют;0;0
71435;-;-;-;-;-;-;-;-;-
71435;-;-;-;-;-;-;-;-;-
71438;Расширение перечня субтитрируемых телеканалов обеспечивает повышение разнообразия контента, доступного для лиц с нарушением слуха, что является одной из задач Конвенции ООН о правах инвалидов.;-;-;-;-;-;-;-;-
71438;-;-;-;-;-;-;-;-;-
72508;-;-;-;-;-;-;-;-;-
72508;-;-;-;-;-;-;-;-;-
72582;-;-;-;-;-;-;-;-;-
72582;-;-;-;-;-;-;-;-;-
