regulation_project_id;Наименование новой или изменяемой функции, полномочия, обязанности или права;Наименование органа;Единовременные расходы в год возникновения;Периодические расходы за период;Возможные поступления за период
17464;создание Реестра и Системы, с использованием которой планируется ведение Реестра ;Минсельхоз России;отсутствуют;"в объеме средств федерального бюджета,предусмотренных на реализацию основного мероприятия «Обеспечение государственного мониторинга земель сельскохозяйственного назначения» Государственной программы развития сельского хозяйства и регулирования рынков сельскохозяйственной продукции, сырья и продовольствия 
на 2013 - 2020 годы, утвержденная постановлением Правительства Российской Федерации от 14 июля 2012 г. 
№ 717 (далее – Мероприятие) в соответствующем году
";отсутсвуют
17555;отсутствует;ФАС России;не предусмотрены;не предусмотрены;не предусмотрены
17984;отсутствует;отсутствует;отсутствуют;отсутствуют;отсутствуют
18013;-;-;-;-;-
18162;Организации метрополитена;организации метрополитена;связаны с эксплуатацией и состоянием материально-технической базы метрополитена;связаны с эксплуатацией и состоянием материально-технической базы метрополитена;-
18209;Установление порядка определения площади негативных процессов  на земельных участках в составе земель сельскохозяйственного назначения;Минсельхоз России;отсутствуют ;отсутствуют ;отсутствуют 
18230;-;-;-;-;-
18247;не предусмотрено;Федеральная служба государственной статистики;не предусмотрены;не предусмотрены;не предусмотрены
18247; ;Федеральная служба государственной статистики;отсутствуют ;отсутствуют ;отсутствуют 
18484;Не предусмотрено;Не предусмотрено;0;0;0
18716;Отсутствует;Принятие приказа Минкомсвязи России «Об утверждении Порядка организационно-технического взаимодействия операторов подвижной радиотелефонной связи при обеспечении перенесения абонентского номера» не потребует дополнительных расходов из федерального бюджета Российской Федерации.;Отстутствует;Отстутствует;Отстутствует
18827;в соответствии с пунктом 8.1 раздела 8 настоящего сводного отчета;Роснедра, Ростехнадзор;0;0;0
18888;При реализации норм, предусмотренных проектом федерального закона, новых функций, полномочий, обязанностей и прав не возникнет;Расходов (поступлений) бюджетов бюджетной системы Российской Федерации не предусмотрено;Отсутствуют;Отсутствуют;Отсутствуют
19058;Минсельхоз России;Минсельхоз России, Минэкономразвития России, ФАС России;Не потребуется;Не потребуется;Не потребуется
19215;Осуществление контроля и координации деятельности органов регионального государственного надзора в области защиты населения и территорий от чрезвычайных ситуаций природного и техногенного характера;МЧС России;Нет данных;Нет данных;Нет данных
19244;-;-;нет;нет;нет
20252;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
20290;формы документа содержащего результаты мониторинга эффективности и безопасности лекарственного препарата, проводимого держателем или владельцем регистрационного удостоверения лекарственного препарата либо уполномоченным ими юридическим лицом, прилагаемого к заявлению о подтверждении государственной регистрации лекарственного препарата;Министерство здравоохранения Российской Федерации (Минздрав России);отсутствует;отсутствует;отсутствует
20292;нет;нет;Расходы  Бюджетной Системы Российской  Федерации в связи реализацией предлагаемых решений не предусмотрены;Расходы бюджетной системы Российской Федерации в связи с реализацией предлагаемых решений не предусмотрены;за 2015 года - 13 496 000 рублей
20305;"Выработка и реализация государственной политики 
и нормативно-правового регулирования в сфере похоронного дела
";Минстрой России, орган государственной власти субъектов Российской Федерации;Отсутствие расходов (возможных поступлений);Расчеты будут произведены в соответствии с установленной методикой после принятия законопроекта;Отсутствие расходов (возможных поступлений) - Минстрой России 
20311;нет;нет;Расходы бюджетной системы Российской Федерации в связи с реализацией предлагаемых решений не предусмотрены.;Расходы бюджетной системы Российской Федерации в связи с реализацией предлагаемых решений не предусмотрены.;0
20623;нет;нет;нет;нет;нет
20724;-;-;-;-;-
20731;Прием  Сведений, предусмотренных пунктом 6 статьи 284.5 Налогового кодекса Российской Федерации, полученных от российских организаций.;ФНС России и ее территориальные органы.;отсутствуют;отсутствуют;отсутствуют
20755;-;-;-;-;-
20782;отсутствует;Налоговые органы Российской Федерации;отсутствует;отсутствует;отсутствует
20840;нет;нет;нет;нет;нет
20947;отсутствует;ФАС России;не предусмотрены;не предусмотрены;не предусмотрены
21034;-;информация отсутствует;-;-;-
21068;Перевод из  государственной системы пенсионного обеспечения функции по назначению и выплате страховых пенсий по старости, назначаемых досрочно, работникам, занятым на рабочих местах, определенных пунктами 1 - 18 части 1 статьи 30 Федерального закона от 28 декабря 2013 г. № 400-ФЗ «О страховых пенсиях» по Списку № 1 и Списку № 2 и «малым» спискам в негосударственную пенсионную систему (досрочного негосударственного пенсионного обеспечения). ;Пенсионный фонд Российской Федерации;0;0;"Межбюджетные трансферты из федерального бюджета передаваемые бюджету Пенсионного фонда Российской Федерации на 2017 год 7,0 млрд. рублей
"
21086;Перевод из  государственной системы пенсионного обеспечения функции по назначению и выплате страховых пенсий по старости, назначаемых досрочно, работникам, занятым на рабочих местах, определенных пунктами 1 - 18 части 1 статьи 30 Федерального закона от 28 декабря 2013 г. № 400-ФЗ «О страховых пенсиях» по Списку № 1 и Списку № 2 и «малым» спискам в негосударственную пенсионную систему (досрочного негосударственного пенсионного обеспечения).;Пенсионный фонд Российской Федерации;0;0;7,0 млрд. рублей
21309;нет;Государственные бюджетные учреждения, подведомственные Минсельхозу России;нет;нет;нет
21346;-;-;-;-;-
21367;-;-;-;-;-
21379;Росрыболовство;Реализация, молоди осетровых видов рыб юридическим лицам и индивидуальным предпринимателям для формирования ремонтно-маточных стад, запрет на реализацию добытых (выловленных) для целей искусственного воспроизводства осетровых видов рыб.;Отсутствуют;Отсутствуют;Отсутствуют
21405;направление в налоговый орган сведений для возможности исчисления повышенной ставки земельного налога;органы, осуществляющие государственный земельный надзор;отсутствуют;отсутствуют;отсутствуют
21405;осуществление государственного земельного надзора в отношении земельного участка из земель сельскохозяйственного назначения, о котором в Едином государственном реестре недвижимости содержатся сведения о результатах государственного земельного надзора, указывающие на ненадлежащее использование или неиспользование такого земельного участка;органы, осуществляющие государственный земельный надзор;отсутствуют;отсутствуют;отсутствуют
21405;Привлечение к административной ответственности лиц, препятствующих осуществлению законной деятельности должностного лица органа, осуществляющего государственный земельный надзор;органы, осуществляющие государственный земельный надзор;отсутствуют;отсутствуют;отсутствуют
21405;Направление в органы, осуществляющие государственный земельный надзор, уведомления о государственной регистрации перехода прав на земельный участок;федеральный орган исполнительной власти, осуществляющий функции по государственной регистрации прав на недвижимое имущество и сделок с ним;отсутствуют;отсутствуют;отсутствуют
21405;обращение в суд с исковым заявлением об изъятии земельного участка и о его продаже с публичных торгов в связи с его ненадлежащим использованием или неиспользование;органы государственной власти субъеков Российской Федерации;отсутствуют;отсутствуют;отсутствуют
21405;приобретение в государственную собственность земельного участка из земель сельскохозяйственного назначения;органы государственной власти субъеков Российской Федерации;отсутствуют;отсутствуют;отсутствуют
21405;приобретение в муниципальную собственность земельного участка из земель сельскохозяйственного назначения;органы местного самоуправления;отсутствуют;отсутствуют;отсутствуют
21576;-;-;-;-;-
21582;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
21712;нет;нет;нет;нет;нет
21750;отнесение земель, предназначенных для лесовосстановления, к землям, занятым лесными насаждениями;органы государственной власти Российской Федерации, органы государственной власти субъектов Российской Федерации, органы местного самоуправления в области лесных отношений в соответствии со статьями 81-84 Лесного кодекса Российской Федерации;расходы не предусмотрены;расходы не предусмотрены;поступления не предусмотрены
21926;-;Расходы (возможные поступления) бюджетов бюджетной системы Российской Федерации отсутствуют;-;-;-
21997;Расходы бюджетов бюджетной системы Российской Федерации не предполагаются.;МЧС России;Отсутствуют;Отсутствуют;Отсутствуют
22155;-;принятие приказа не приведет к изменению расходов / доходов бюджетов бюджетной системы Российской Федерации;-;-;-
22769;не предусматриваются;Роспотребнадзор;отсутствует;-;-
22817;отсутствует;отсутствует;отсутствуют;отсутствуют;отсутствуют
22904;-;Роспотребнадзор;В рамках текущего финансирования;-;-
22979;Нет;Нет;Отсутствуют;Отсутствуют;Отсутствуют
23140;Функции, полномочия, обязанности или права  не изменятся;Все заинтересованные федеральные органы исполнительной власти;0;0;0
23413;-;-;-;-;-
23429;нет данных ;Нет данных;нет данных;нет данных;нет данных
23448;-;-;-;-;-
23513;Информация будет внесена по завершению общественного обсуждения Проекта акта;Информация будет внесена по завершению общественного обсуждения Проекта акта;Информация будет внесена по завершению общественного обсуждения Проекта акта;Информация будет внесена по завершению общественного обсуждения Проекта акта;Информация будет внесена по завершению общественного обсуждения Проекта акта
23591;Россельхознадзор;Россельхознадзор;Не требуется;Не требуется;Отсутствуют
23810;Функции, указанные в                п. 8.1. (Минфин России). ;Минфин России;31 897 055,52 руб.;5 500 718,79 руб.;не предполагаются
24662;Министерство юстиции Российской Федерации;Наименование органа 3: Министерство юстиции Российской Федерации;0;0;0
25029;Не предусматривается;Дополнительных расходов и доходов бюджетной системы не предусматривается;Не предусматривается;Не предусматривается;Дополнительных доходов в бюджет не предусмотрено
25193;Функции, полномочий, обязанности и права не изменятся;Вс;0;0;0
25223;отсутствует;проект приказа ФНС России не влечет расходов (возможных поступлений);-;-;-
25226;отсутствует;проект приказа ФНС России не влечет расходов (возможных поступлений);-;-;-
25259;Порядок реализации функций не изменится;проект приказа ФНС России не влечет расходов (возможных поступлений) ФНС России и ее территориальные органы;не ожидаются;не ожидаются;не ожидаются
25289;Организация проведения кадастровой оценки;органы исполнительной власти субъектов Российской Федерации;финансирование за счет средств бюджетов субъектов Российской Федерации, направляемых на проведение кадастровой оценки;зависят от дат принятия решений о проведении государственной кадастровой оценки;зависят от налоговой базы, определяемой по итогам проведения государственной кадастровой оценки
25530;отсутствуют;отсутствует;отсутствуют;отсутствуют;отсутствуют
25532; ; ;дополнительных расходов не ожидается;дополнительных расходов не ожидается;дополнительных расходов не ожидается
25553;отсутствуют;отсутствует;отсутствуют;отсутствуют;отсутствуют
25575;Утверждение правил надлежащей практики хранения и перевозки лекарственных препаратов для медицинского применения ;отсутствует;отсутствует;отсутствует;отсутствует
25691;наделение новыми полномочиями актом не предусмотрено;Органы государственной власти субъектов Российской Федерации;0;0;0
25691;наделение новыми полномочиями актом не предусмотрено;Росприроднадзор и его территориальные органы; ; ; 
25711;Не предусмотрено  введение новых функций, полномочий, обязанностей;Отсутствует;отсутствует;отсутствует;отсутствует
25916;не;Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека;не;не;не
25940;нет;Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека;нет;нет;нет
25983;Россельхознадзор;Россельхознадзор; Не требуется; Не требуется;Отсутствуют
26060;Россельхознадзор;Россельхознадзор;Не требуется;Не требуется;Отсутствуют
26073;отсутствует;ФНС России и ее территориальные органы;отсутствуют;отсутствуют;отсутствуют
26227;проведение аккредитации частных агентств занятости ;Федеральная служба пог руду и занятости (Роструд);не ожидаются ;не ожидаются ;не ожидаются 
26241;Отсутствуют			;не повлечет;Отсутствуют;Отсутствуют;Отсутствуют
26275;Отсутствует;не повлечет;Отсутствует;Отсутствует;Отсутствует
26324;Обработка дополнительной информации в соответствии с проектом приказа;все заинтересованные федеральные органы исполнительной власти;0;0;0
26384;-;-;-;-;-
26469;"1.	Полномочия Россельхознадзора по осуществлению проверок (инспекций) предприятий третьих стран и аудиту зарубежных официальных систем надзора;";Россельхознадзор;Не предполагается.;"Периодические расходы за период 2016-2017 г.: 5520,00  тыс. рублей; с 2018 г. по 29220,56 тыс. рублей ежегодно";Не предполагается.
26487;-;-;-;-;-
26565;отсутствует;отсутствует;отсутствуют;отсутствуют;отсутствует
26661;нет;---;нет;нет;нет
26694;Нет;Нет;Нет;Нет;Нет
26710;Утверждение правил надлежащей практики фармаконадзора;Федеральная служба по надзору в сфере здравоохранения Российской Федерации (Росздравнадзор России);отсутствует;отсутствует;отсутствует
26785;утверждение правил проведения экспертизы лекарственных средств и особенностей экспертизы отдельных видов лекарственных препаратов (референтных лекарственных препаратов, воспроизведенных лекарственных препаратов, биологических лекарственных препаратов, биоаналоговых (биоподобных) лекарственных препаратов (биоаналогов), гомеопатических лекарственных препаратов, лекарственных растительных препаратов, комбинаций лекарственных препаратов);отсутствует;отсутствуют;отсутствуют;отсутствуют
26822;отсутствуют;отсутствует;отсутствуют;отсутствуют;отсутствуют
26992;Новые функции, полномочия, обязанности и права Ростехнадзора  данными Федеральными нормами и правилами в области промышленной безопасности «Инструкция по прогнозу динамических явлений и мониторингу массива горных пород при отработке угольных месторождений» не вводятся;Ростехнадзор;не предусмотрены;не предусмотрены;не предусмотрены
26992;Новые функции, полномочия, обязанности и права МЧС России  данными Федеральными нормами и правилами в области промышленной безопасности «Инструкция по прогнозу динамических явлений и мониторингу массива горных пород при отработке угольных месторождений» не вводятся;МЧС России;не предусмотрены;не предусмотрены;не предусмотрены
27123;МВД России;Отсутсвует;отсутствует;отсутствует;отсутствует
27167;Отсутствует;Отсутствует;Отсутствуют;Отсутствуют;Отсутствуют
27292;-;-;-;-;-
27343;Росрыболовство;Росрыболовство;Не потребуются;Не потребуются;Не потребуются
27497;-;Роспотребнадзор;-;-;-
27529;отсутствует;отсутствуют;нет;нет;нет
27689;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
27752;отсутствует;Проект не устанавливает и не изменяет функции, полномочия, обязанности и права федеральных органов исполнительной власти, органов государственной власти субъектов Российской Федерации и органов местного самоуправления порядок их реализации, а также изменения трудозатрат и (или) потребностей в иных ресурсах;0;0;0
27764;использование тивого контракта на проведение работ по определению кадастровой стоимости;Органы исполнительно власти субъектов Российской Федерации, органы власти муниципальных образований;Отсутствуют;Отсутствуют;Отсутствуют
27958;отсутствует;Ростехнадзор;не потребуются;не потребуются;не потребуются
28004;установление требований к рыболовству в открытом море в отношении юридических лиц и индивидуальных предпри-нимателей, осуществляющих рыболовство в открытом море с использованием су-дов, плавающих под Госу-дарственным флагом Российской Федерации;Минсельхоз России;в пределах доведенных лимитов бюджета Российской Федерации;в пределах доведенных лимитов бюджета Российской Федерации;нет
28004;размещение решений, принятых в соответствии с международными договорами Российской Федерации в области рыболовства и сохранения водных биологических ресурсов, касающихся рыболовства в открытом море в районах действия международных договоров Российской Федерации в области рыболовства и сохранения водных биологических ресурсов, на официальном сайте Федерального агентства по рыболовству в информационно-телекоммуникационной сети «Интернет»;Росрыболовство;в пределах доведенных лимитов бюджета Российской Федерации;в пределах доведенных лимитов бюджета Российской Федерации;нет
28037; ;Ростехнадзор;отсутствует;отсутствует;отсутствует
28088;Введение новых или изменение существующих функций, полномочий, обязанностей  не предусмотрено;Министерство здравоохранения Российской Федерации (Минздрав России);отсутствует;отсутствует;отсутствует
28180;Предоставление сведений в электронном виде на федеральном уровне;ФНС России;В рамках бюджета на сопровождение информационных систем;Не предусмотрены;Не оценивалось
28203;-;-;-;-;-
28264;отсутствуют;отсутствует;отсутствуют;отсутствуют;отсутствуют
28742;отсутствует;проект приказа ФНС России не влечет расходов (возможных поступлений);-;-;-
28846;-;Новых видов расходов (возможных поступлений) бюджетов бюджетной системы Российской Федерации не ожидается.;-;-;-
28872;отсутствует;отсутствует;Нет;Нет;Нет
28933;осуществление подготовки и заключения договоров купли-продажи лесных отношений, расположенных на землях, находящихся в государственной или муниципальной собственности;Органы государственной власти Российской Федерации, органы государственной власти субъектов Российской Федерации, органы местного самоуправления, уполномоченные на заключение договоров купли-продажи лесных отношений;не предусмотрены;не предусмотрены;не предусмотрены
28952;-;-;-;-;-
28972;Минсельхоз России, Россельхознадзор;Россельхознадзор;не требуются;не требуются;отсутствуют
29007;отсутсвует;отсутсвует;отсутсвует;отсутсвует;отсутсвует
29023;Отсутствуют (функции и полномочия не изменятся);Минприроды России;В пределах бюджетных ассигнований федерального бюджета, предусмотренных государственным заданием ФГБУ «Национальный парк «Кенозерский»;отсутствуют;отсутствуют
29033;нет;нет;нет;нет;нет
29041;нет;нет;нет;нет;нет оценки
29169;Отсутствуют.;Россельхознадзор.;Не требуются.;Не требуются.;Отсутствуют.
29240;-;Расходы (возможные поступления) бюджетов бюджетной системы Российской Федерации отсутствуют;-;-;-
29300;Обязанность принимать декларации на товары, поданные в письменном виде;таможенные органы, уполномоченные совершать таможенные операции с применением карнетов АТА;нет;В соответствии с утвержденными нормами бюджетного финансирования;В соответствии с утвержденными нормами бюджетного финансирования
29330;-;-;-;-;-
29341;нет;нет;нет;нет;нет
29357;-;-;-;-;-
29463;Отсутствует;Отсутствует;Нет;Нет;Нет
29469;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
29484;Нет;Отсутсвует;Нет;Нет;Нет
29548;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
29667;органы государственной власти субъектов Российской Федерации в области лесных отношений;органы государственной власти субъектов Российской Федерации в области лесных отношений;расходы не предусмотрены;расходы не предусмотрены;в зависимости от желания арендаторами леных участков заключать договоры аренды без торгов в соответствии с расчетом арендной платы произведенным субъектами Российской Феерации в соответтвии с Методиков
29787;Отсутствует;Отсутствует;Отсутствуют;Отсутствуют;Отсутствуют
29798;Рассмотрение дел об административных правонарушениях, предусмотренных частями 1- 6 статьи 12.21.1. Кодекса в случае фиксации административных правонарушений работающими в автоматическом режиме специальными техническими средствами, имеющими функции фото- и киносъемки, видеозаписи. ;Органы исполнительной власти субъектов Российской Федерации;нет;нет;нет
29801;Нет;-;Нет;Нет;Нет
30021;Минтранс России;отсутствуют;нет;нет;нет
34151;-;-;-;-;-
34154;функции, полномочия, обязанности или права  не изменятся;органы государственного жилищного надзора;0;0;0
