regulation_project_id;Группа участников отношений;Оценка количества участников отношений
21367;невозможности обеспечения достаточного контроля соблюдения предлагаемых требований;отсутствует
21367;отсутствия необходимых ресурсов, кадров;отсутствует
21367;неясности условий и порядка практического применения положений проекта акта для участников отношений предложенного способа регулирования;отсутствует
21379;Юридические лица и индивидуальные предприниматели;Неограниченное количество
21379;Росрыболовство;1
21379;Территориальные управления Росрыболовства;20
21379;Федеральные государственные бюджетные учреждения по сохранению водных биоресурсов (рыбводы);31
21405;граждане и юридические лица, являющиеся собственниками земельных участков из земель сельскохозяйственного назначения;информация о количестве физических и юридических лиц, являющихся собственниками земельных участков из земель сельскохозяйственного назначения отсутствует 
21405;федеральные органы исполнительной власти, органы государственной власти субъектов Российской Федерации ;органы государственной власти субъектов Российской Федерации в 82 субъектах Российской Федерации и органы местного самоуправления 1867 муниципальных районов (информация о количестве городских округов, органы местного самоуправления которых являются участниками отношений отсутствует)
21463;недропользователи, органы государственной власти;2
21576;Юридические лица, индивидуальные предприниматели, осуществляющие предпринимательскую деятельность на территории свободного порта;не ограничено
21576;отсутствует ;- 
21582;Пользователи недр;отсутствует
21582;федеральные органы государственной власти, органы государственной власти субъектов Российской Федерации;отсутствует
21712;Юридические лица, не являющиеся частными агентствами занятости и определенные нормативно правовым актом;доля предприятий, использующих заемный труд, с 2008 по 2011 гг. выросла с 2,3% до 4,6%.
21750;лица, осуществляющие лесовосстановления;не ограничено
21878;отсутствуют;отсутствуют
21878;"федеральные органы исполнительной власти и организации, создающие функциональные подсистемы РСЧС;";более 100
21878;"органы исполнительной власти субъектов Российской Федерации;"; 
21878;"органы местного самоуправления;"; 
21878;организации, в полномочия которых входит решение вопросов в области защиты населения и территорий от чрезвычайных ситуаций;более 100
21926;юридические и физические лица, чья деятельность связана с эксплуатацией и управлением железнодорожным подвижным составом;не представляется возможным
21997;Физические и юридические лица, занимающиеся предпринимательской и экономической деятельностью при проведении и экспертизе расчетов по оценке пожарного риска;Статистические данные отсутствуют
22155;Владельцы инфраструктуры железнодорожного транспорта общего пользования, перевозчики, операторы железнодорожного подвижного состава и другие организации жд транспорта, грузоотправители и грузополучатели;не представляется возможным
22155;-;-
22769;Юридические лица, индивидуальные предприниматели и граждане, деятельность которых связана с проектированием, строительством, эксплуатацией систем водоснабжения и обеспечением населения питьевой  водой;Органы, осуществляющие федеральный государственный санитарно-эпидемиологический надзор.
22817;таможенные органы;отсутствует
22817;участники внешнеэкономической деятельности;отсутствует
22904;Граждане, юридическими лицами и индивидуальными предпринимателями, деятельность которых связана с проектированием, строительством, реконструкцией, эксплуатацией организаций профессионального образования, обучением и воспитанием студентов в организациях профессионального образования ;Все участники отношений, указанных в пункте 7.1.
22904;Федеральный орган исполнительной власти, осуществляющий государственный санитарно-эпидемиологический надзор (контроль) за соблюдением  требований санитарных правил (Роспотребнадзор);1
22904;Территориальные органы федерального органа исполнительной власти, осуществляющего санитарно-эпидемиологический государственный надзор (контроль) за соблюдением требований санитарных правил;85 (за 2015 год)
22928;Производители лекарственных средств, осуществляющие деятельность на территории Российской Федерации;Около 550
22928;Производители лекарственных средств, осуществляющие деятельность за пределами территории Российской Федерации;Около 2500 (по данным государственного реестра лекарственных средств) 
