regulation_project_id;Описание отменяемых обязанностей, запретов или ограничений;Описание и оценка затрат на выполнение отменяемых обязанностей, запретов или ограничений
35065;отменяемых обязанностей, запретов или ограничений не предусмотренно;отменяемых обязанностей, запретов или ограничений не предусмотренно
35140;нет;нет
35181;отменяемые обязанности, запреты или ограничения отсутствуют;затраты на выполнение отменяемых обязанностей, запретов или ограничений отсутствуют
37232;отсутствуют;отсутствуют
37305;Отсутствуют;Отсутствуют
37407;отмена обязанностей, запретов или ограничений для субъектов предпринимательской и иной экономической деятельности не предусмотрена; 
37471;информация уточняется;информация уточняется
37488;отсутствуют;отсутствуют
37535;отсутствуют;отстутствуют
37537;отсутствуют;отсутствуют
38316;отсутствуют;отсутствуют
38399;-Отсутствует;-
38438;-;-
38438;-;-
38438;-;-
38438;-;-
38438;отсутствуют;отсутствуют
38493;-;-
38495;-;-
38498;-;-
38639;Отсутствуют;Отсутствуют
38651;обязанностей, запретов или ограничений подлежащих отмене нет;не предусмотрено
38743;отсутствуют;отсутствуют
38747;отсутствует;отсутствует
38769;отменяемые обязанности, запреты или ограничения отсутствуют;отсутствует
38770;отменяемые обязанности, запреты или ограничения отсутствуют;затраты на выполнение отменяемых обязанностей, запретов или ограничений отсутствуют
38805;-------------------------;-----------------------
38807;Отмена лицензирования попутной добычи общераспространенных полезных ископаемых;----------------------
38863;Не выявлены.;Низкая.
38893;информация уточняется;информация уточняется
38894;Нет;Нет
39080;-;-
39187;отсутсвует;отсутсвует
39307;Нет;Нет
39439;Отсутствуют;Отсутствуют
39470;Данные будкут внесены в ходе обсуждения проекта акта;Данные будкут внесены в ходе обсуждения проекта акта
39480;Отсутствуют;Отсутствуют
39505;Не предусмотрена;Затраты отсутствуют
39760;Нет;Нет
39789;Пункт будет раскрыт в ходе общественного обсуждения проекта акта;Пункт будет раскрыт в ходе общественного обсуждения проекта акта
40031;"Обязанности, запреты и ограничения, предусмотренные настоящих проектом приказа идентичны обязанностям, запретам и ограничениям, предусмотренным приказом МПР России от 16.07.2007 № № 183""Об утверждении правил лесовосстановления"", который будет отменен в связи с вступлением настоящего приказа";не предполагается
40036;Обязанности, запреты и ограничения не отменяются;-
40118;Отмена обязанностей, запретов или ограничений для субъектов предпринимательской и иной экономической деятельности не предусмотрена;Информация отсутствует
40153;нет;нет
40171;отсутствует;отсутствует
40218;Отсутствуют;Отсутствуют
40309;Не выявлена;отсутствуют
40313;отсутствует;отсутствует
40331;Отменяемые обязанности, запреты и ограничения отсутствуют;Затраты на выполнение отменяемых обязанностей, запретов и ограничений отсутствуют
40336;Отменяемые обязанности, запреты и ограничения отсутствуют;Затраты на выполнение отменяемых обязанностей, запретов и ограничений отсутствуют
40556;-;-
40563;Отменяемые обязанности, запреты или огрначения отсутствуют;Отменяемые обязанности, запреты или огрначения отсутствуют
40678;отменяемые обязанности, запреты или ограничения отсутствуют;затраты на выполнение отменяемых обязанностей, запретов или ограничений отсутствуют
40694;отсутствуют;отсутствуют
40760;Отсутствуют;Отсутствуют
40884;Отсутствуют;Отсутствуют
40949;Отсутствуют;Отсутствуют
40989;Отсутствует;Отсутствует
41010;-;-
41077;отменяемых обязанностей, запретов или ограничений не имеется;-
41156;отсутствует;отсутствет
41227;информация уточняется;информация уточняется
41254;такие обязанности отсутствуют;-
41786;отсутствуют;отсутствуют
41826;-;-
41830;-;-
41856;не отменяются;нет
41936;Отсутствуют;Отсутствуют
42049;обязанности, запреты или ограничения не отменяются;-
42111;Отменяемых обязанностей нет;Не требуется
42173;информация уточняется;информация уточняется
42222;Отсутствует;Отсутствует
42309;отсутствуют;-
42310;отсутствуют;-
42397;Отсутствует;Отсутствует
42814;Отсутсвуют;Отсутсвуют
42835;отсутствует;отсутствуют
42875;отсутствуют;отсутствуют
42912;отменяемые обязанности, запреты или ограничения отсутствуют;Описание и оценка затрат на выполнение отменяемых обязанностей, запретов или ограничений отсутствует
43032;нет;---
43066;Отсутствует;Отсутствует
43098;-;-
44236;Расширение круга налогоплательщиков единого сельскохозяйственного налога организациями и индивидуальными предпринимателями, являющимися рыбоводными хозяйствами, а также субъектами малого предпринимательства. Также предлагается сохранение возможности применения ЕСХН рыболовецкими артелями (колхозами).;Не потребует дополнительных расходов
44250;Отсутствует.;Отсутствует.
44635;-;-
44667;отсутствуют;отсутствуют
44741;-;-
44799;отсутствуют;нет
44881;Отмена обязанностей, запретов или ограничений для субъектов предпринимательской и иной экономической деятельности не предусмотрена;Информация отсутствует
44910;Описание отменяемых обязанностей, запретов или ограничений отсутствует;-
44935;-;-
44942;отсутствует;отсутствует
44943;отсутствуют;отсутствуют
44945;отсутствуют;отсутствуют
44946;отсутствуют;отсутствуют
44963;Описание отменяемых обязанностей, запретов или ограничений отсутствует;-
45067;нет;нет
45077;Не предусмотрено;Не предусмотрено
45080;На уровне ведомственного нормативного правовго акта требования к инструкции по медицинскому применению лекарственного препарата ранее не устанавливались.; 
45080;В этой связи положения об отмене соразмерных требований в той же области правового регулирования в сфере обращения лекартвенных средств проектом приказа не предусматриваются.;Не предусмотрено
45082;нет;нет
45083;нет;нет
45271;-----;------
45470;Нет;Нет
45602;информация уточняется;информация уточняется
45603;информация отсутствует;информация отсутствует
45605;информация уточняется;информация уточняется
45660;информация уточняется;информация уточняется
45671;информация уточняется;информация уточняется
45689;информация уточняется;информация уточняется
45691;информация уточняется;информация уточняется
45695;информация уточняется;информация уточняется
45699;отсутствует;отсутствует
45701;информация уточняется;информация уточняется
45703;информация уточняется;информация уточняется
45705;информация уточняется;информация уточняется
45707;информация уточняется;информация уточняется
45708;информация уточняется;информация уточняется
45710;информация уточняется;информация уточняется
45717;информация уточняется;информация уточняется
45723;информация уточняется;информация уточняется
45750;Отсутствует;Отсутствует
45751;Отсутствует;Отсутствует
45755;Отсутствует;Отсутствует
45756;Отсутствует;Отсутствует
45791;нет;нет
45852;Собственники объектов спорта;Обеспечить оборудование инженерно-техническими средствами охраны объекты сопрта, в зависимости от их категории
45868;отсутствует;отсутствует
45936;Порядок оснащения судов техническими средствами контроля и их виды. Так как в настоящее время соответствующие требования установлены актом Росрыболовства, их отмена не может быть предусмотрена актом Минсельхоза России.;-
46050;-;-
46062;-;-
46074;-;-
46082;-;-
46123;отсутствуют;отсутствуют
46198;_________________________________;_______________________________
46233;отсутствуют;отсутствуют
46298;нет;нет
46398;отсутствует;отсутствует
46462;-;-
46586;Нет;Нет
46595;Отсутствуют;Отсутствуют
46618;отсутствует;отсутствует
46716;Отсутствуют;Отсутствуют
46721;Отсутствуют;Отсутствуют
46731;отсутствуют;-
46742;Отсутствуют.;Отсутствует.
46759;отсутствуют;отсутствуют
46851;Стандартные образцы и средства измерений утвержденного типа регистрируются в качестве эталонов единиц величин с проведением упрощенной процедуры оценки соответствия обязательным требованиям;не предусмотрено
46940;Отсутствуют.;Отсутствуют.
47032;-;-
47033;-;-
47054;нет;нет
47069;Отменяется обязанность заявителей обеспечить установку приборов учета в рамках технологического присоединения;отсутствуют
47210;нет;нет
47258;-;-
47262;Отмена обязанностей, запретов или ограничений для субъектов предпринимательской и иной экономической деятельности не предусмотрена;Информация отсутствует
47274;отсутствует;отсутствует
47278;информация уточняется;информация уточняется
47312;информация уточняется;информация уточняется
47329;отсутствует;отсутствует
47356;информация уточняется;информация уточняется
47365;информация уточняется;информация уточняется
47369;информация уточняется;информация уточняется
47371;информация уточняется;информация уточняется
47373;Отмена обязанностей, запретов или ограничений для субъектов предпринимательской и иной экономической деятельности не предусмотрена;Информация отсутствует
47428;информация уточняется;информация уточняется
47431;Информация уточняется;Информация уточняется
47473;информация уточняется;информация уточняется
47487;отсутствуют;отсутствуют
47491;отсутствуют;отсутствует
47499;Нет;Нет
47662;отсутствуют;отсутствует
47668;-;-
47716;не отменяются;-
47819;В законопроекте отсутствуют отменяемые запреты и ограничения.;В законопроекте отсутствуют отменяемые запреты и ограничения.
47831;Нет;Нет
47942;нет;нет
48103;отсутствует;-
48158;не отменяются обязанности, запреты и ограничения;отсутствуют
48174;Отсутствуют.;Отсутствуют.
48292;Отсутствуют;Отсутствуют
48305;Отмена обязанностей, запретов или ограничений для субъектов предпринимательской и иной экономической деятельности не предусмотрена;Информация отсутствует
48370;-;-
48413;не отменяются; 
48413; ; 
48413;(N.K);-
48505;Отсутсвуют;Отсутсвуют
48554;Отсутствуют;Отсутствуют
48571;запретов или ограничений для субъектов предпринимательской и иной экономической деятельности нет;запретов или ограничений для субъектов предпринимательской и иной экономической деятельности нет
48874;Отсутствуют;Отсутствуют
48895;Проект федерального закона не предусматривает рисков решения проблемы предложенным способом регулирования и риски негативных последствий;-
48961;отсутствует;отсутствует
49095;Отсутствует.;Отсутствует.
49169;-;-
49264;Отмена обязанностей, запретов или ограничений для субъектов предпринимательской и иной экономической деятельности не предусмотрена;Информация отсутствует
49295;-;-
49340;отсутствует;отсутствует
49522;Отсутствует;Отсутствует
49533;отсутствуют;-
49636;отсутствует;отсутствует
49639;Отсутствуют.;Отсутствуют.
49788;0;0
49796;нет;нет
49995;Проект Постановления разработан взамен действующего постановления Правительства Российской Федерации от 29.12.2007 № 980. Принятие проекта Постановления не повлечет изменения обязанностей, запретов или ограничений для субъектов естественных монополий в сфере транспортировке нефти и нефтепродуктов.;-
50036;Отсутствуют.;Отсутствуют.
50037;Отсутствуют.;Отсутствуют.
50059;отсутсвуют;отсутсвуют
50178;нет;нет
50240;Отсутствует;Отсутствует
50287;Устраняется уголовная ответственность, предусмотренная статьей 269 Уголовного кодекса Российской Федерации.;Затраты на выполнение не предусматриваются.
50361;возможность открытия банками счетов организациям, индивидуальным предпринимателям и предоставления им права использовать корпоративные электронные средства платежа для переводов электронных денежных средств только при предъявления свидетельства о постановке на учет в налоговом органе.;отсутствуют
50374;отсутствуют;отсутствуют
50398;отсутствуют;отсутствуют
50590;Нет.;Нет.
50628;Обязанности не отменяются;Отсутствует
50667;нет;нет
50879;Не паредусматривается;Не предусматриваются
50986;-;-
51188;Нет;0,0 р.
51248;-;-
51340;Отсутствуют;Отсутствуют
51354;нет;нет
52485;-;-
52540;Отмена обязанностей, запретов или ограничений для субъектов предпринимательской и иной экономической деятельности не предусмотрена;Информация отсутствует
52562;нет;нет
52589;отсутствуют;отсутствуют
52607;отсутствуют;отсутствуют
52754;Обязанности, запреты и ограничения отсутствуют;Обязанности, запреты и ограничения отсутствуют
52776;информация уточняется;информация уточняется
52778;Информация уточняется;Информация уточняется
52783;Отменяется обязанность производителей лекарственных средств для ветеринарного применения использовать при производстве лекарственных препаратов для ветеринарного применения исключительно фармацевтические субстанции, включенные в государственный реестр лекарственных средств и предназначенные для производства лекарственных препаратов для ветеринарного применения;Затраты на выполнение отменяемых обязанностей отсутствует
52833;отсутствуют;отсутствуют
52887;(N.1); 
52887;(N.K);-
52945;отсутсвуют;отсутсвуют
52971;Отмена обязанностей, запретов или ограничений для субъектов предпринимательской и иной экономической деятельности не предусмотрена;Информация отсутствует
52987;Отмена обязанностей, запретов или ограничений для субъектов предпринимательской и иной экономической деятельности не предусмотрена;Информация отсутствует
53011;Введение системы электронных торгов отменяет обязательность личного присутствия участника торгов (его уполномоченного лица);-
53011;Ограничивается максимальный размер задатка, который может требовать организатор торгов для обеспечения участия в торгах.;-
53011;Сроки возврата задатков, в случае если лицо в торгах не является победителем, сокращены и унифицированы для всех сфер.;-
53014;Отсутствуют;Отсутствуют
53043;Отсутствуют;Отсутствуют
53297;-;-
53324;Уточняется;Уточняется
53388;нет;нет
54693;-;-
54700;-;-
54708;Отсутствуют;Отсутствуют
54737;отсутствуют;отсутствуют
54769;нет;нет
54788;нет;нет
54884;Не предусмотрены;Не предусмотрены
54954;нет;нет
54961;-------;------
55240;Отсутствует;Отсутствует
55283;Характер отменяемых запретов и ограничений будет уточнен по мере доработки проекта;-
55324;Не предусмотрено.;Не предусмотрено.
55362;Отсутствуют;Отсутствуют
55382;Отсутствуют;Отсутствуют
55527;отсутствует;-
55619;Учитывая, что в процессе освоения участка недр, содержащего трудноизвлекаемую нефть, включающего разведку и добычу трудноизвлекаемой нефти, и создания полигонов отработки технологий геологического изучения, разведки и добычи трудноизвлекаемых запасов (ресурсов) нефти в разработку вовлекаются высокорисковые активы и требуется закрепление мер экономического стимулирования, повышающего их инвестиционную привлекательность, законопроектом предлагается освободить пользователей недр по указанным объектам от уплаты разовых и регулярных платежей за пользование недрами;Оценка не производилась
55650;-;-
55732;Отмена лицензирования следующих видов деятельности: ; 
55732;"деятельность по перевозкам внутренним водным транспортом, морским транспортом опасных грузов;";Нет
55732;"погрузочно-разгрузочная деятельность применительно к опасным грузам на внутреннем водном транспорте, в морских портах;";Нет
55732;деятельность по осуществлению буксировок морским транспортом (за исключением случая, если указанная деятельность осуществляется для обеспечения собственных нужд юридического лица или индивидуального предпринимателя).;Нет
55792;Отсутствуют;Отсутствуют
55804;Отсутствует;Отсутствует
55868;Порядок и механизм представления оперативной и статистической отчетности по добыче рыбы и переработке рыбопродукции;нет
55930;Отсутствует;Отсутствует
56104;-;-
56206;Нет.;Нет.
57522;Отсутствуют;Отсутствуют
58599;нет;нет
58624;Отсутствуют;Отсутствуют
58682;нет;нет
58711;Отсутствуют;Отсутствуют
58805;нет;нет
58830;Нет;Нет
58953;нет;нет
59125;Информация уточняется.;Информация уточняется.
59244;нет;нет
59312;Отмена обязанностей, запретов или ограничений для субъектов предпринимательской и иной экономической деятельности не предусмотрена;Информация отсутствует
59775;-;-
59786;отсутствуют;отсутствуют
59826;нет;нет
59840;нет;нет
59841;Нет;Нет
59843;Нет;Нет
60066;Отмена не предусматривается;затраты отсутствуют
60109;нет;нет
60304;Отменяемые обязанности, запреты или ограничения отсутствуют;Отменяемые обязанности, запреты или ограничения отсутствуют
60359;Нет.;Нет.
60402;Отсутствует;Отсутствует
60431;Обязанности не отменяются;Отсутствует
60448;нет;нет
60465;отсутствует;отсутствует
60598;Отсутствуют; 
60598;(N.K);-
60618;-;-
60783;наделение пользователя недр правом обращаться за получением земельных участков непосредственно после согласования проектной документации на разработку месторождения полезных ископаемых; 
60783;закрепить возможности обоснования получения и изъятия земельных участков, необходимых для целей недропользования, не только лицензией, но и техническими проектам;отсутствует
60819;информация уточняется;информация уточняется
60861;Нет информации;Нет информации
61009;отсутствуют;отсутствуют
61155;нет;нет
61284;информация уточняется;информация уточняется
61285;информация уточняется;информация уточняется
61311;Отсутствуют;Отсутствуют
61348;информация уточняется;информация уточняется
61350;информация уточняется;информация уточняется
61377;нет;нет
61635;Отсутствуют;Отсутствуют
61679;отсутствуют;отсутствуют
61680;-;-
61846;Отсутствуют;Отсутствуют
61890;Организация перевозки детей к местам отдыха и обратно организациями отдыха детей и их оздоровления;Минобрнауки России не располагает информацией в сфере транспортного регулирования
61944;нет;нет
61988;снятие ограничений на осуществление мараловодства;не проводилась
62000;Отсутствует;Отсутствует
62214;нет данных;нет данных
62352;не отменяются;нет
62477;Отсутствуют;Отсутствуют
62482;отсутствуют;отсутствуют
62509;Информация уточняется;Информация уточняется
62515;Не предполагается;Не предполагается
62518;Не предполагается;Не предполагается
62620;отсутствует;-
62668;отсутствует;-
62695;Отсутствует;Отсутствует
62755;-;-
62880;Нет;нет
62982;нет;нет
63034;Отсутствуют;Отсутствуют
63076;-;-
63202;Информация уточняется;Информация уточняется
63244;Отсутствуют;Отсутствуют
63261;информация уточняется;информация уточняется
63265;информация уточняется;информация уточняется
63304;Отсутствует;Не предусмотрено
63540;Отсутствуют;Отсутствуют
63639;нет;нет
63710;___________________________________________________________________________________________________________;_______________________________________________________________________________________________________________
63765;отсутствует;отсутствует
63800;Замена налогов на прибыль и имущество организаций единым налогом, уплачиваемым резидентами свободного порта Владивосток;-
64001;-;-
64031;отсутствует;отсутствует
64124;Отсутствует;-
64133;Отсутствует (№.K);-
64136;Информация уточняется;Информация уточняется
64363;(N.1)Отсутствует; 
64363;(N.K);нет
64413;нет данных;-
64502;-;-
64514;не имеется;не имеется
64555;Информация уточняется;Информация уточняется
64599;(N.1); 
64599;(N.K);отсутствует
64604;(N.1); 
64604;(N.K);отсутствует
64613;Информация уточняется;Информация уточняется
65854;Информация уточняется.;Информация уточняется.
66048;Отсутствуют;Отсутствуют
66675;Отсутствуют;Отсутствуют
66681;отсутствует;отсутствует
66768;-;-
66959;нет;нет
67043;нет;нет
67056;Отсутствуют;-
67197;Определение параметров заявителей, которые могут воспользоваться правом исключения из платы за технологическое присоединение расходов, связанных со строительством объектов электросетевого хозяйства - от существующих объектов электросетевого хозяйства до присоединяемых энергопринимающих устройств и (или) объектов электроэнергетики;отсутствует
67291;Отмена обязанностей, запретов или ограничений для субъектов предпринимательской и иной экономической деятельности не предусмотрена;Информация отсутствует
67580;нет;нет
67584;нет;нет
67633;"Ограничивается максимальный размер задатка, который может требовать организатор торгов для обеспечения участия в торгах.";-
67633;"Сроки возврата задатков, в случае если лицо в торгах не является победителем, сокращены и унифицированы для всех сфер.";-
67633;Введение системы электронных торгов отменяет обязательность личного присутствия участника торгов (его уполномоченного лица);-
67683;"административная ответственность за обязанности и запреты, введенная в соответствии с Федеральным законом от 26 декабря 1995 г. № 209-ФЗ ""О геодезии и картографии""";затраты отсутствуют
67764;-;-
67967;не имеется;не имеется
67976;отсутствует;-
68082;отсутствует;отсутствует
68186;-;-
68227;Информация уточняется;Информация уточняется
68393;Невозможность осуществлять водителями коммерческие перевозки или работать по найму при отсутствии свидетельства о профессии водителя транспортного средства, осуществляющего перевозку пассажиров или грузов.;Прохождение курса повышения квалификации, стоимость которого может составлять от 2760 рублей до 12 300 рублей для водителей различных категорий транспортных средств (в соответствии с данными раздела 11)
68399;-;-
69602;нет;нет
69666;отсутствует;отсутствует
69734;Правила по разработке и согласованию Планов по предупреждению и ликвидации разливов нефти и нефтепродуктов.;отсутствует.
69880;-;-
69975;отсутствует;отсутствуют
69980;отсутствует;отсутствует
70040;-;-
70133;Информация уточняется;Информация уточняется
70195;-;-
71277;отсутствует;отсутствует
71333;В местах проведения мероприятий UEFA Евро 2020, а также в трансляциях сигнала таких мероприятий, осуществляемых любым способом и с помощью любых средств, допускается размещение рекламы коммерческих партнеров UEFA и реализуемых ими товаров, работ, услуг, за исключением товаров, реклама которых не допускается в соответствии со статьей 7 Федерального закона «О рекламе».;Принятие изменений не потребует затрат на их реализацию
71422;не предусмотрено;не предусмотрено
71435;Отсутствуют;Отсутствуют
71438;-;-
72508;Проектом приказа отменяемых обязанностей, запретов или ограничений не предусмотрено;-
72582;Проектом приказа отменяемых обязанностей, запретов или ограничений не предусмотрено;-
72605;нет;нет
72615;прорабатывается;прорабатывается
72636;-;-
72654;установленные обязанности не отменяются;установленные обязанности не отменяются
72798;проект акта не содержит положения об отмене обязанностей, запретов или ограничений для субъектов предпринимательской и иной экономической деятельности;проект акта не содержит положения, приводящие к возникновению у субъектов предпринимательской или иной экономической деятельности расходов, связанных с необходимостью соблюдения установленных требований регулирования
