regulation_project_id;Риски решения проблемы предложенным способом и риски негативных последствий;Оценки вероятности наступления рисков;Методы контроля эффективности избранного способа достижения целей регулирования;Степень контроля рисков
19058;Риск недостаточности механизмов для реализации предложенного способа решения проблемы;Такой риск минимален, так как предлагаемое регулирование является лишь частью комплексного регулирования отношений в сфере агропромышленного комплекса установленного иными нормативными правовыми актами.;Данный риск будет контролироваться мероприятиями по мониторингу правоприменения соответствующих нормативных правовых актов.;Частичный контроль
19058;Риск недостаточности необходимых материальных и человеческих ресурсов;Такой риск минимален, так как новые полномочия будут осуществляться федеральными органами исполнительной власти в пределах установленной им штатной численности государственных гражданских служащих и предусмотренных им бюджетных ассигнований;Данный риск будет контролироваться путем осуществления организационно-технических и информационных мероприятий, в том числе посредством своевременного снабжения должностных лиц федеральных органов исполнительной власти необходимыми ресурсами.;Частичный контроль
19058;Риск несоответствия предложенного способа регулирования уровню развития или распространения необходимых технологий;Такой риск минимален, так как вносимые изменения не требует применения новых технологий, знаний, машин и оборудования.;Данный риск будет контролироваться путем осуществления методологических мероприятий, в том числе посредством разработки методических указаний;Частичный контроль
19215;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
19244;отсутствуют;отсутствуют;существующие;высокая
19359;Риски не выявлены;---;non-applicable;non-applicable
19402;риски не выявлены;---;non-applicable;non-applicable
19939;Отсутствуют;Отсутствуют;non-applicable;non-applicable
20039;12.1. Риски решения проблемы предложенным способом и риски негативных последствий несоответствия между предло-женным способом регулирования и заявленными целями предло-женного способа регулирования недостаточности механизмов реали-зации предложен-ного способа регулирования для решения проблемы невозможности обеспечения доста-точного контроля соблюдения предла-гаемых требований отсутствия необхо-димых ресурсов, кадров несоответствия предложенного способа регулиро-вания уровню раз-вития или распро-странения необхо-димых технологий неясности условий и порядка практи-ческого применения положений проекта акта для участников отношений предло-женного способа регулирования Риски негативных последствий: для развития пред-принимательства для инвестиционного климата для конкуренции для безопасности и качества продукции для окружающей среды для модернизации производства и конкурентоспособ-ности продукции предприятий;отсутствуют отсутствует отсутствует отсутствует отсутствует маловероятен маловероятен маловероятен отсутствует отсутствует отсутствует;non-applicable;non-applicable
20202;отсутствуют;отсутствуют;non-applicable;non-applicable
20252;отсутствуют;отсутствуют;отсутствуют;отсутствует
20290;отсутствуют;отсутствуют;отсутствуют;отсутствует
20292;Риски решения проблемы предложенным способом и риски негативных последствий отсутствуют.;0;Не требуются;0
20305;Отсутствует;Низкая;-;-
20311;Риски решения проблемы предложенным способом и риски негативных последствий отсутствуют.;0;Не требуются.;0
20623;нет;нет;нет;нет
20724;-;-;-;-
20731;В случае непредставления указанных Сведений, возможность неправомерного применения ставки 0 процентов по налогу на прибыль организаций.;низкая;Привлечение к уплате налога на прибыль организаций в случае неправомерного применения ставки 0 процентов по налогу.;высокая
20755;-;-;-;-
20782;При разработке законопроекта были учтены риски негативных последствий, отмеченные на заседаниях Совета по аудиторской деятельности и его Рабочего органа, а также экспертами общественного обсуждения законопроекта, указанного в пункте 6.2 настоящего сводного отчета.;отсутствуют;отсутствуют;отсутствуют
20840;нет;нет;нет;нет
20947;регулирование рисков не несет;вероятность отсутствует;контроль осуществляется в соответствии с Законом о защите конкуренции;отсутствует
21034;Риски решения проблемы предложенным способом регулирования и риски негативных последствий не выявлены.;-;-;-
21068;Риски отсутствуют;отсутствует;отсутствует;отсутствует
21086;Риски отсутствуют;отсутствует;отсутствует;отсутствует
21309;нет;нет;нет;нет
21346;-;-;-;-
21367;невозможности обеспечения достаточного контроля соблюдения предлагаемых требований;отсутствует;Статистика Роскомнадзора;полная
21367;недостаточности механизмов реализации предложенного способа регулирования для решения проблемы;отсутствует;Статистика Роскомнадзора;полная
21367;несоответствия между предложенным способом регулирования и заявленными целями предложенного способа регулирования;отсутствует;Статистика Роскомнадзора;полная
21367;неясности условий и порядка практического применения положений проекта акта для участников отношений предложенного способа регулирования;отсутствует;Статистика Роскомнадзора;полная
21367;отсутствия необходимых ресурсов, кадров;отсутствует;Статистика Роскомнадзора;полная
21379;Иные виды последствий, в том числе макроэкономические, производственные, социальные и прочие;Отсутствуют;Отсутствуют;Отсутствуют
21379;Риск невозможности обеспечения достаточного контроля соблюдения предлагаемых требований;Минимален, так как проект постановления гармонично связан с нормативными правовыми актами, устанавливающими полномочия органов государственной власти федерального уровня, которые обеспечивают, в том числе, механизмы контроля и не связаны с дополнительными расходами бюджетных средств на их обеспечение.;Данный риск будет контролироваться путем проведения контрольно-надзорных мероприятий Росрыболовством, территориальными управлениями Росрыболовства, МВД России и ФСБ России.;Полный контроль
21379;Риск недостаточности предлагаемых механизмов регулирования для решения проблемы;Минимален, так постановление Правительства Российской Федерации не предусматривает иного способа решения возникшей проблемы.;Данный риск будет контролироваться мероприятиями по мониторингу правоприменения соответствующих нормативных правовых актов.;Полный контроль
21379;Риск несоответствия между предложенным способом решения проблемы и заявленными целями регулирования;Отсутствует, так как необходимость установления ограничений реализации осетровых видов рыб, добытых (выловленных) в рамках осуществления работ по сохранению водных биоресурсов, вызвана быстрым сокращением их естественной популяции.;Данный риск будет контролироваться мероприятиями по мониторингу правоприменения соответствующих нормативных правовых актов.;Полный контроль
21379;Риск отсутствия необходимых ресурсов, кадров;Отсутствует, так как новое полномочие будет осуществляться Росрыболовством, территориальными управлениями Росрыболовства и федеральными государственными бюджетными учреждениями по сохранению водных биоресурсов (рыбводами) в пределах установленной штатной численности и предусмотренных бюджетных ассигнований.;Данный риск будет контролироваться путем осуществления организационно-технических и информационных мероприятий, в том числе посредством своевременного снабжения должностных лиц необходимыми материальными ресурсами и информацией.;Полный контроль
21405;риски отсутсвуют;-;-;-
21463;отсутствуют;отсутствуют;non-applicable;non-applicable
21576;нет;нет;нет;нет
21582;отсутствуют;низкая;не продусмотрено;полная
21712;Риски для инвестиционного климата;вероятен;мероприятия по мониторингу и иные меры;частичный контроль
21712;Риски для состояния конкуренции;вероятен;мероприятия по мониторингу и иные меры;частичный контроль
21712;Риски невозможности обеспечения достаточного контроля соблюдения предлагаемых требований.;вероятен;мероприятия по мониторингу и иные меры;частичный контроль
21750;при подготовке проекта акт риски не выявлены;отсутствует;ежегодные проверки соблюдения эффективности выполнения переданных полномочий в области лесных отношений;отсутствует
21878;Риски не предусмотрены;Вероятность мала;non-applicable;non-applicable
21926;Риски решения проблемы предложенным способом регулирования и риски негативных последствий не выявлены;-;-;-
21997;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
22155;риски решения проблемы предложенным способом и риски негативных последствий от принятия проекта приказа не выявлены;-;-;-
22769;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
22817;отсутствуют;отсутствуют;отсутствуют;отсутствует
22904;отсутствуют;-;-;-
22928;Риски негативных последствий не выявлены;Вероятность не выявлена;non-applicable;non-applicable
22928;Риски решения проблемы не выявлены;Вероятность не выявлена;non-applicable;non-applicable
22979;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствует
23097;не выявлены;не выявлены;non-applicable;non-applicable
23140;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют
23328;Рисков не предусмотрено;вероятность мала;non-applicable;non-applicable
23354;Отсутствуют.;Отсутствуют.;non-applicable;non-applicable
23413;нет;нет;нет;нет
23429;нет данных;нет данных;нет данных;нет данных
23448;-;-;-;-
23513;Информация будет внесена по завершению общественного обсуждения Проекта акта;Информация будет внесена по завершению общественного обсуждения Проекта акта;Информация будет внесена по завершению общественного обсуждения Проекта акта;Информация будет внесена по завершению общественного обсуждения Проекта акта
23591;Риск невозможности обеспечения контроля соблюдения требований вводимых новым регулированием;Отсутствует;Не требуется;Полный контроль
23591;Риск недостаточности механизмов для реализации предложенного способа решения проблемы;Отсутствует;Не требуется;Полный контроль
23591;Риск недостаточности необходимых материальных и человеческих ресурсов;Отсутствует;Не требуется;Полный контроль
23591;Риск несоответствия между способом регулирования и заявленными целями регулирования;Отсутствует;Не требуется;Полный контроль
23591;Риск несоответствия предложенного способа регулирования уровню развития или распространения необходимых технологий;Отсутствует;Не требуется;Полный контроль
23810;отсутствуют;-;-;-
23851;отсутствуют;отсутствуют;non-applicable;non-applicable
24504;нет;нет;non-applicable;non-applicable
24662;Риски отсутвуют;низкая;мониторинг, статистические наблюдения;полный контроль
24744;-;-;non-applicable;non-applicable
24744;-;-;non-applicable;non-applicable
24744;-;-;non-applicable;non-applicable
24744;-;-;non-applicable;non-applicable
24744;Отсутствуют;-;non-applicable;non-applicable
24979;Риски отсутствуют;Риски отсутствуют;non-applicable;non-applicable
25005;Риски отсутствуют;отсутствует;non-applicable;non-applicable
25029;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
25193;риски решения проблемы указанным способом отсутствуют;вероятность наступления рисков отсутствует;отсутствие противоречий при применении законодательства в указанной сфере деятельности;отсутствие противоречий при применении законодательства в указанной сфере деятельности
25223;отсутствуют;отсутствуют;отсутствуют;отсутствует
25226;отсутствуют;отсутствуют;отсутствуют;отсутствует
25259;отсутствуют;-;-;-
25289;Отсутствуют;Отсутствует;Отсутствуют;Отсутствует
25359;отсутствуют;отсутствуют;non-applicable;non-applicable
25400;-;-;non-applicable;non-applicable
25518;отсутсвуют;минимальные;non-applicable;non-applicable
25530;отсутствуют;отсутствуют;отсутствуют;отсутствует
25532;отсутствуют;отсутствуют;отсутствуют;отсутствуют
25553;отсутствуют;отсутствуют;отсутствуют;отсутствует
25575;отсутствуют;отсутствуют;отсутствуют;отсутствует
25620;нет;нет;non-applicable;non-applicable
25691;Отсутствуют;низкая;не требуется;не требуется
25711;отсутствуют;отсутствуют;отсутствуют;отсутствует
25874;Риски отсутствуют;Риски отсутствуют;non-applicable;non-applicable
25916;Не определены;Не определены;Осуществление переаттестации;Высокая
25940;Не определены;Не определены;Не определены;Не определены
25983;Отсутствует;Не требуется;Не требуется;Полный контроль
25983;Отсутствует;Не требуется;Не требуется;Полный контроль
25983;Отсутствует;Не требуется;Не требуется;Полный контроль
25983;Отсутствует;Не требуется;Не требуется;Полный контроль
25983;Отсутствует;Не требуется;Не требуется;Полный контроль
26060;Риск невозможности обеспечения контроля соблюдения требований вводимых новым регулированием;Отсутствует;Не требуется;Полный контроль
26060;Риск недостаточности механизмов для реализации предложенного способа решения проблемы;Отсутствует;Не требуется;Полный контроль
26060;Риск недостаточности необходимых материальных и человеческих ресурсов;Отсутствует;Не требуется;Полный контроль
26060;Риск несоответствия между способом регулирования и заявленными целями регулирования;Отсутствует;Не требуется;Полный контроль
26060;Риск несоответствия предложенного способа регулирования уровню развития или распространения необходимых технологий;Отсутствует;Не требуется;Полный контроль
26073;не выявлены;низкая;Камеральная налоговая проверка, выездная налоговая проверка.;высокая
26182;-;-;non-applicable;non-applicable
26227;отсутствуют;отсутствуют;отсутствуют;отсутствуют
26241;Отсутствуют;низкая;не предусмотрены;Полная
26275;Отсутствуют;низкая;не предусмотрены;Полная
26324;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют
26384;Риски решения проблемы предложенным способом регулирования и риски негативных последствий не выявлены;-;-;-
26469;Отсутствуют.;Отсутствуют.;Отсутствуют.;Отсутствуют.
26487;-;-;-;-
26565;отсутствуют;отсутствуют;отсутствуют;отсутствует
26661;отсутствуют;отсутствуют;существующие;возможность контроля отсутствует
26694;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
26710;отсутствуют;отсутствуют;отсутствуют;отсутствует
26785;отсутствуют;отсутствуют;отсутствуют;отсутствует
26822;отсутствуют;отсутствуют;отсутствуют;отсутствует
26992;Подготовка и утверждение Федеральных норм и правил в области промышленной безопасности «Инструкция по прогнозу динамических явлений и мониторингу массива горных пород при отработке угольных месторождений» не несет каких-либо рисков, однако существует риск несоблюдения указанных в Федеральных нормах и правилах в области промышленной безопасности «Инструкция по прогнозу динамических явлений и мониторингу массива горных пород при отработке угольных месторождений» требований;Вероятность существует;Общественный контроль и осуществление внеплановых проверок по обращениям граждан и организаций и мониторинг аварийности по отчетным данным предприятий;Проведение внеплановых проверок по каждому факту обращения граждан и организаций
27123;Риски отсутствуют;отсутствует;Осуществление мероприятий по контролю (надзору);отсутствует
27167;Отсутствуют;Отсутствуют;Существующие;ВЫсокая
27292;Риски решения проблемы предложенным способом регулирования и риски негативных последствий не выявлены.;-;-;-
27343;Риски невозможности обеспечения контроля соблюдения требований, вводимых новым регулированием;Маловероятен;Данный риск будет контролироваться в процессе реализации Росрыболовством полномочий мероприятиями в установленной сфере деятельности.;Полный
27343;Риски недостаточности механизмов для реализации предложенного способа решения проблемы;Маловероятен;Данный риск будет контролироваться мероприятиями по мониторингу правоприменения соответствующих нормативных правовых актов.;Полный
27343;Риски недостаточности необходимых материальных и человеческих ресурсов;Маловероятен;Данный риск будет контролироваться в процессе реализации Росрыболовством полномочий мероприятиями в установленной сфере деятельности.;Полный
27343;Риски несоответствия между способом регулирования и заявленными целями регулирования;Маловероятен;Данный риск будет контролироваться в процессе реализации Росрыболовством полномочий мероприятиями в установленной сфере деятельности;Полный
27343;Риски неясности условий и порядка практического применения положений проекта акта для участников отношений предлагаемого регулирования;Маловероятен;В ходе реализации, предусмотренных законопроектом Росрыболовством будут даваться соответствующие разъяснения.;Полный
27497;отсутствуют;-;-;-
27499;Нет;Нет;non-applicable;non-applicable
27529;отсутвуют;низкая;отсутвуют;низкая
27689;отсутствует;отсутствует;отсутствует;отсутствует
27752;не предусматривает рисков решения проблемы предложенным способом регулирования и риски негативных последствий;не предусматривает рисков решения проблемы предложенным способом регулирования и риски негативных последствий;не предусматривает рисков решения проблемы предложенным способом регулирования и риски негативных последствий;не предусматривает рисков решения проблемы предложенным способом регулирования и риски негативных последствий
27764;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствует
27823;Отсутствуют;Отсутствуют;non-applicable;non-applicable
27958;отсутствуют;отсутствуют;отсутствуют;отсутствует
28004;(иные виды последствий, в том числе макроэкономические, производственные, социальные и прочие);Нет;Нет;Полный
28004;Риск недостаточности механизмов для реализации предложенного способа решения проблемы.;Риск отсутствует;Не требуется;Отсутствует
